seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_attribute_view,use_enhanced_role_view,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,attribute_view_weight,view_gate_entropy,semantic_route_margin,structural_route_margin,role_route_margin,attribute_route_margin,prompt_view_prior,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_message_help_query_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,query_class_balanced_mean_delta_ce,query_class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_query_supervised_count,message_help_class_count,message_help_query_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_receive_gate_query_loss,receive_gate_budget,utility_gate_supervised_count,utility_gate_query_supervised_count,utility_gate_positive_count,utility_gate_query_positive_count,utility_gate_negative_count,utility_gate_query_negative_count,utility_gate_ignored_count,utility_gate_query_ignored_count,utility_gate_target_mean,utility_gate_query_target_mean,utility_gate_delta_corr_train,utility_gate_query_delta_corr,utility_gate_label_strategy,utility_gate_query_label_strategy,query_proto_alignment_loss,query_proto_supervised_count,query_proto_class_count,query_proto_mean_delta_dist,query_proto_positive_ratio,support_query_enabled,support_only_prompt_graph,support_count,query_count,train_support_ratio,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,pattern_prompt_usage_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,prototype_direction_strength_mean,prototype_direction_normalize,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,70.0,0.33863750100135803,0.32232425510883334,0.33764296770095825,0.3220789521932602,0.4772162139415741,0.9874126315116882,0.15,0.18972331285476685,0.05094422399997711,24,2592,0.06059855595231056,0.06059855595231056,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.22903144359588623,0.2524717450141907,0.26382365822792053,0.25467318296432495,0.9990363121032715,1.3889737129211426,1.4044184684753418,0.7255408763885498,1.64188719509184e-07,0.002393291797488928,0.0094437375664711,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004157204180955887,0.0,0.0,0.0,0.0008427957072854042,0.800000011920929,0.0,10.0,0.0,5.0,0.005,1.0,0.0,0.0,0.7297676205635071,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.6602884531021118,margin,margin,0.004452178720384836,10.0,5.0,0.0018391609191894531,0.6000000238418579,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.46752288937568665,0.3991639316082001,0.7401806712150574,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.46752285957336426,0.3991639018058777,0.7401806116104126,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,0.9999999944120646,0.020116791129112244,0.021213684231042862,0.298061341047287,0.9568250775337219,0.9568250775337219,0.16545802354812622,2.0,0.0012857518158853054,0.0723998099565506,0.0,0.0012993038399145007,0.0012993038399145007,0.0,0.01285751722753048,0.0012857518158853054,0.0,0.0,0.14969326555728912,0.12023162841796875,0.1791549026966095,0.1791549026966095,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0012993038399145007,0.0,0.0,0.0,"[36101, 1296, 1296]",0.0,0.0,0.0004903785884380341,False,80,0.1,0.0006481392192654312,0.5948275923728943,0.3445488214492798,0.3439006805419922,0.0006481392192654312,0.5948275923728943,-0.00015072021051310003,0.5882353186607361,-0.0004276917316019535,0.514950156211853,0.0,0.18815010786056519
0,70.0,0.33664843440055847,0.31947549879550935,0.3401292860507965,0.32476176619529723,0.4771326780319214,0.9856092929840088,0.15,0.19016249477863312,0.05094422399997711,24,2598,0.06059855595231056,0.06059855595231056,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2460886687040329,0.27156296372413635,0.2614971101284027,0.22085125744342804,0.9978610277175903,2.091538429260254,2.5205371379852295,2.7296156883239746,9.338519930679468e-07,0.004310733638703823,0.0201176218688488,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008526627207174897,0.0,0.0,0.0,0.01168175507336855,1.0,0.0,10.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0022938456386327744,0.1567300707101822,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.7408720254898071,margin,margin,0.004697054624557495,10.0,5.0,0.013643329031765461,0.1666666716337204,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.9959455728530884,0.9215695261955261,0.9998315572738647,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9959454536437988,0.9215695261955261,0.9998315572738647,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000409781933,0.011097642593085766,0.011106286197900772,0.20073021948337555,0.8435706496238708,0.8435706496238708,0.3452920913696289,1.0,0.006732721347361803,0.1699448525905609,0.0,0.006803685333579779,0.006803685333579779,0.0,0.030624400824308395,0.007656100206077099,0.06345067173242569,0.06345067173242569,0.1511455625295639,0.12023162841796875,0.18205949664115906,0.18205949664115906,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.006803685333579779,0.0,0.0,0.0,"[36101, 1299, 1299]",0.0,0.0,0.0012255087494850159,False,80,0.25,0.009172036312520504,0.9655172228813171,0.35576629638671875,0.34659427404403687,0.009172036312520504,0.9655172228813171,-0.00031898729503154755,0.4375,-0.0030928002670407295,0.45695364475250244,0.0,0.25370416045188904
1,80.0,0.34908005595207214,0.34046274423599243,0.34908005595207214,0.34046274423599243,0.4741828739643097,0.9636285305023193,0.15,0.1923583596944809,0.05094422399997711,24,2628,0.06223461404442787,0.06223461404442787,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.23415762186050415,0.2484211027622223,0.2780921161174774,0.23932915925979614,0.9983617067337036,2.1540334224700928,1.901223063468933,2.3252687454223633,1.232917981042192e-07,0.002792254090309143,0.020668743178248405,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00286769587546587,0.0,0.0,0.0,0.003121306886896491,0.75,0.0,10.0,0.0,4.0,0.005,1.0,0.0,0.0,0.003213312942534685,0.1574605405330658,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,-0.8763154149055481,margin,margin,0.004332645796239376,10.0,4.0,0.004763509146869183,0.25,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.9963303804397583,0.9248258471488953,0.9998038411140442,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.996330201625824,0.9248257875442505,0.9998038411140442,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000074505806,0.029505016282200813,0.03023875504732132,0.24417074024677277,0.884922444820404,0.884922444820404,0.29015862941741943,1.0,0.0023458136711269617,0.12849530577659607,0.0,0.0023705391213297844,0.0023705391213297844,0.0,0.02345813624560833,0.0023458136711269617,0.0,0.0,0.15387874841690063,0.12331247329711914,0.18444502353668213,0.18444502353668213,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0023705391213297844,0.0,0.0,0.0,"[36101, 1314, 1314]",0.0,0.0,0.0005237897858023643,False,80,0.1,0.0011721336049959064,0.5948275923728943,0.3166639506816864,0.31549179553985596,0.0011721336049959064,0.5948275923728943,0.0017870654119178653,0.6666666865348816,0.0006276048952713609,0.49833887815475464,0.0,0.15202119946479797
1,40.0,0.3674788773059845,0.32586403340101244,0.3460964560508728,0.3367782115936279,0.49083319306373596,0.999312698841095,0.15,0.19323670864105225,0.05094422399997711,24,2640,0.05586995556950569,0.05586995556950569,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2402936816215515,0.24655038118362427,0.2629142999649048,0.2502416670322418,0.9996083378791809,1.5698696374893188,1.5942360162734985,0.6278305649757385,2.917240999522619e-05,0.002995150163769722,0.014080306515097618,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020819080527871847,0.0,0.0,0.0,0.0047401441261172295,0.75,0.0,9.0,0.0,4.0,0.005,1.0,0.0,0.0,0.3035028874874115,0.013803786598145962,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9283035397529602,margin,margin,0.003967221826314926,9.0,4.0,0.0033222909551113844,0.5833333134651184,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.7560577392578125,0.4217395782470703,0.9779855012893677,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7560577392578125,0.4217395782470703,0.9779855012893677,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,0.9999999981373549,0.014821917749941349,0.015427583828568459,0.30728477239608765,0.9747723340988159,0.9747723340988159,0.14119784533977509,1.0,0.005477400496602058,0.1352611780166626,0.0,0.005535133183002472,0.005535133183002472,0.0,0.022313671186566353,0.005578417796641588,0.009126466698944569,0.009126466698944569,0.13898533582687378,0.11126171052455902,0.16670897603034973,0.16670897603034973,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.005535133183002472,0.0,0.0,0.0,"[36101, 1320, 1320]",0.0,0.0,0.001301751472055912,True,80,0.25,0.00699231680482626,0.9224137663841248,0.32688626646995544,0.3198939561843872,0.00699231680482626,0.9224137663841248,0.002960615325719118,0.6666666865348816,-0.0008664400666020811,0.5681062936782837,0.0,0.17596447467803955
2,65.0,0.3142715096473694,0.2958240956068039,0.3068125247955322,0.28818586468696594,0.48053428530693054,0.9916648268699646,0.15,0.19543258845806122,0.05094422399997711,24,2670,0.05979172885417938,0.05979172885417938,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.22769755125045776,0.2508793771266937,0.26407697796821594,0.25734612345695496,0.9989011883735657,1.8202488422393799,1.4500861167907715,1.428629755973816,1.1572677038884649e-07,0.0022844213526695967,0.011552847921848297,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037516066804528236,0.0,0.0,0.0,0.0012483932077884674,1.0,0.0,6.0,0.0,2.0,0.005,1.0,0.0,0.0,0.2950322926044464,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.873945415019989,margin,margin,0.0048482464626431465,6.0,2.0,0.00015175342559814453,1.0,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.5796545147895813,0.3949417173862457,0.9651201367378235,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.5796545147895813,0.3949417173862457,0.9651201367378235,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.000000026077032,0.009509153664112091,0.010394125245511532,0.28387922048568726,0.9604611396789551,0.9604611396789551,0.16982075572013855,1.0,0.0012158682802692056,0.06935645639896393,0.0,0.0012286837445572019,0.0012286837445572019,0.0,0.012158682569861412,0.0012158682802692056,0.0,0.0,0.14780212938785553,0.11870796978473663,0.17689630389213562,0.17689630389213562,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0012286837445572019,0.0,0.0,0.0,"[36101, 1335, 1335]",0.0,0.0,0.00043936818838119507,False,80,0.1,0.0002118906268151477,0.6551724076271057,0.31991127133369446,0.31969934701919556,0.0002118906268151477,0.6551724076271057,-0.000641753722447902,0.5199999809265137,-0.000185076889465563,0.4557377099990845,0.0,0.013995879329741001
2,65.0,0.3132769763469696,0.2957195371389389,0.30979612469673157,0.29206526577472686,0.48040449619293213,0.99140864610672,0.15,0.1958717554807663,0.05094422399997711,24,2676,0.05979172885417938,0.05979172885417938,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.24383623898029327,0.2664608359336853,0.2574410140514374,0.23226188123226166,0.999016523361206,2.4957549571990967,1.3266440629959106,0.4273141026496887,2.38685856857046e-07,0.003756619058549404,0.019405411556363106,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01578422635793686,1.0,0.0,6.0,0.0,2.0,0.005,1.0,0.0,0.0,0.012826960533857346,0.14214524626731873,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74696284532547,margin,margin,0.005064827390015125,6.0,2.0,-6.482750177383423e-05,0.375,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.973650336265564,0.8467552065849304,0.9973472356796265,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.973650336265564,0.8467552065849304,0.9973471760749817,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000149011612,0.028726976364850998,0.03152979910373688,0.32433319091796875,0.9356054067611694,0.9356054067611694,0.2074592113494873,2.0,0.0056929923593997955,0.13635557889938354,0.0,0.005752997472882271,0.005752997472882271,0.0,0.024140574038028717,0.006035143509507179,0.03172533959150314,0.03172533959150314,0.14883196353912354,0.11870796978473663,0.17895595729351044,0.17895595729351044,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.005752997472882271,0.0,0.0,0.0,"[36101, 1338, 1338]",0.0,0.0,0.0011053532361984253,False,80,0.25,0.005610461346805096,0.931034505367279,0.331473171710968,0.32586270570755005,0.005610461346805096,0.931034505367279,-0.008336950093507767,0.375,-0.004424624610692263,0.4375,0.0,-0.010040673427283764
3,45.0,0.3257085978984833,0.31695348024368286,0.32073596119880676,0.31700472831726073,0.489078551530838,0.9996600151062012,0.15,0.1941150575876236,0.05094422399997711,24,2652,0.05663924664258957,0.05663924664258957,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2292160987854004,0.25126776099205017,0.26083290576934814,0.2586831748485565,0.9990820288658142,0.9640770554542542,0.9207615852355957,0.5686548352241516,1.434826799595612e-07,0.0023814644664525986,0.007182721048593521,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004593840800225735,0.0,0.0,0.0,0.00040615900070406497,1.0,0.0,8.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.0049425349570810795,8.0,5.0,5.746483657276258e-05,0.699999988079071,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.38044583797454834,0.38044553995132446,0.38044601678848267,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.38044583797454834,0.38044553995132446,0.38044601678848267,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000149011612,0.0019196502398699522,0.0019777643028646708,0.33330291509628296,0.9847762584686279,0.9847762584686279,0.11134439706802368,2.0,0.0008176821283996105,0.04912293329834938,0.0,0.0008263005875051022,0.0008263005875051022,0.0,0.00817682035267353,0.0008176821283996105,0.0,0.0,0.14041981101036072,0.112727589905262,0.16811202466487885,0.16811202466487885,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0008263005875051022,0.0,0.0,0.0,"[36101, 1326, 1326]",0.0,0.0,0.000399051234126091,False,80,0.1,0.0009034685208462179,0.568965494632721,0.33480098843574524,0.33389753103256226,0.0009034685208462179,0.568965494632721,0.0003596342576202005,0.375,0.00010799164010677487,0.4752475321292877,0.0,0.1138429269194603
3,65.0,0.3187468945980072,0.3149383097887039,0.31675782799720764,0.3131035894155502,0.48052018880844116,0.9908859729766846,0.15,0.19455423951148987,0.05094422399997711,24,2658,0.05979172885417938,0.05979172885417938,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.24145442247390747,0.2657244801521301,0.2674085199832916,0.2254125475883484,0.9982143044471741,2.311366558074951,2.394545555114746,2.7683701515197754,3.188781363405724e-07,0.0037644454278051853,0.019839636981487274,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004130847519263625,0.0,0.0,0.0,0.011992506682872772,1.0,0.0,8.0,0.0,4.0,0.005,1.0,0.0,0.0,0.002406549407169223,0.15661026537418365,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.19650989770889282,margin,margin,0.005315856076776981,8.0,4.0,0.0060037001967430115,0.125,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.9954371452331543,0.9134663343429565,0.9996821880340576,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9954371452331543,0.9134663343429565,0.9996821880340576,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000093132257,0.007583528757095337,0.007687684614211321,0.20836696028709412,0.8572152256965637,0.8572152256965637,0.3272571563720703,1.0,0.007243945728987455,0.18251457810401917,0.0,0.007320298347622156,0.007320298347622156,0.0,0.032365914434194565,0.008091478608548641,0.11994785070419312,0.11994785070419312,0.1489536464214325,0.11870796978473663,0.17919932305812836,0.17919932305812836,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.007320298347622156,0.0,0.0,0.0,"[36101, 1329, 1329]",0.0,0.0,0.0009984001517295837,False,80,0.25,0.008904623799026012,0.9396551847457886,0.34442412853240967,0.3355194628238678,0.008904623799026012,0.9396551847457886,-0.004351245705038309,0.4583333432674408,-0.0018244425300508738,0.5016501545906067,0.0,0.14956749975681305
4,55.0,0.28940826654434204,0.2851297616958618,0.2874191999435425,0.2865386962890625,0.4832163155078888,0.9975733757019043,0.15,0.19543258845806122,0.05094422399997711,24,2670,0.058200493454933167,0.058200493454933167,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.23218287527561188,0.25522172451019287,0.2631781995296478,0.24941720068454742,0.9992449283599854,2.0449793338775635,2.095249652862549,1.4477843046188354,1.3474668492108322e-07,0.002634515054523945,0.007506434340029955,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004325416870415211,0.0,0.0,0.0,0.0006745834834873676,0.800000011920929,0.0,11.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.004288530442863703,11.0,5.0,0.0014646013732999563,0.8666666746139526,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.3869262933731079,0.38692620396614075,0.38692641258239746,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.3869262933731079,0.38692620396614075,0.38692641258239746,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,1.0000000149011612,0.0008401403320021927,0.0008845789125189185,0.2718203067779541,0.9567936062812805,0.9567936062812805,0.17986708879470825,1.0,0.0009763955022208393,0.0571858212351799,0.0,0.0009866869077086449,0.0009866869077086449,0.0,0.009763955138623714,0.0009763955022208393,0.0,0.0,0.14402031898498535,0.11569470167160034,0.17234593629837036,0.17234593629837036,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0009866869077086449,0.0,0.0,0.0,"[36101, 1335, 1335]",0.0,0.0,0.0008973702788352966,False,80,0.1,0.0007465864764526486,0.6982758641242981,0.2898499667644501,0.2891033887863159,0.0007465864764526486,0.6982758641242981,-0.0011459490051493049,0.5,0.0001568817679071799,0.6363636255264282,0.0,0.13000765442848206
4,80.0,0.2849328815937042,0.284201380610466,0.2849328815937042,0.284201380610466,0.4722064733505249,0.9549417495727539,0.15,0.19367589056491852,0.05094422399997711,24,2646,0.06223461404442787,0.06223461404442787,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.24802634119987488,0.26953044533729553,0.2653317451477051,0.2171114683151245,0.9974916577339172,3.091982364654541,2.986743927001953,2.456798791885376,2.0908930764562683e-06,0.004488654434680939,0.020691782236099243,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001361334347166121,0.0,0.0,0.0,0.010579428635537624,1.0,0.0,9.0,0.0,3.0,0.005,1.0,0.0,0.0,0.001208351575769484,0.15834000706672668,0.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,-0.2537577152252197,margin,margin,0.004863885696977377,9.0,3.0,0.0001361138274660334,0.9166666865348816,1.0,1.0,65.0,51.0,0.5603448275862069,1.0,0.9974408745765686,0.9671638011932373,0.9997078776359558,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9974408149719238,0.9671638011932373,0.999707818031311,0.0,0.0,0.0,0.0,0.0,0.19490254872563717,0.9999999813735485,0.0014957657549530268,0.002477087778970599,0.17202681303024292,0.8254376649856567,0.8254376649856567,0.37207266688346863,1.0,0.006611146032810211,0.15319384634494781,0.0,0.006680828519165516,0.006680828519165516,0.0,0.02835538238286972,0.00708884559571743,0.05106475204229355,0.05106475204229355,0.1552143096923828,0.12331247329711914,0.18711614608764648,0.18711614608764648,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.006680828519165516,0.0,0.0,0.0,"[36101, 1323, 1323]",0.0,0.0,0.002241373062133789,False,80,0.25,0.007808055728673935,0.9741379022598267,0.30172866582870483,0.2939205765724182,0.007808055728673935,0.9741379022598267,-0.007530521135777235,0.29411765933036804,-0.004685662686824799,0.4740259647369385,0.0,0.14061203598976135
