seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_attribute_view,use_enhanced_role_view,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,attribute_view_weight,view_gate_entropy,semantic_route_margin,structural_route_margin,role_route_margin,attribute_route_margin,prompt_view_prior,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_message_help_query_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,query_class_balanced_mean_delta_ce,query_class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_query_supervised_count,message_help_class_count,message_help_query_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_receive_gate_query_loss,receive_gate_budget,utility_gate_supervised_count,utility_gate_query_supervised_count,utility_gate_positive_count,utility_gate_query_positive_count,utility_gate_negative_count,utility_gate_query_negative_count,utility_gate_ignored_count,utility_gate_query_ignored_count,utility_gate_target_mean,utility_gate_query_target_mean,utility_gate_delta_corr_train,utility_gate_query_delta_corr,utility_gate_label_strategy,utility_gate_query_label_strategy,query_proto_alignment_loss,query_proto_supervised_count,query_proto_class_count,query_proto_mean_delta_dist,query_proto_positive_ratio,support_query_enabled,support_only_prompt_graph,support_count,query_count,train_support_ratio,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,pattern_prompt_usage_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,prototype_direction_strength_mean,prototype_direction_normalize,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,60.0,0.23444676399230957,0.23384238183498382,0.2402922809123993,0.24023827612400056,0.4838920831680298,0.9937953948974609,0.15,0.19419342279434204,0.050182655453681946,24,6060,0.058992378413677216,0.058992378413677216,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.22940844297409058,0.251565158367157,0.2616961896419525,0.2573302686214447,0.999096155166626,0.5631548762321472,0.36484551429748535,0.6764802932739258,1.2676314042892045e-07,0.002378742676228285,0.008415945805609226,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004367565270513296,0.0,0.0,0.0,0.0006324342684820294,0.8266666531562805,0.0,15.0,0.0,5.0,0.005,1.0,0.0,0.0,0.8704366087913513,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.4596247375011444,margin,margin,0.003876661416143179,15.0,5.0,0.0013535695616155863,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.4279847741127014,0.39143577218055725,0.509066641330719,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.4279847741127014,0.39143577218055725,0.509066641330719,0.0,0.0,0.0,0.0,0.0,0.19693486590038314,1.0000000074505806,0.006110635120421648,0.006670893169939518,0.32036110758781433,0.9587605595588684,0.9587605595588684,0.14503242075443268,2.0,0.0011521526612341404,0.06607983261346817,0.0,0.0011574693489819765,0.0011574693489819765,0.0,0.011521527543663979,0.0011521526612341404,0.0,0.0,0.14596018195152283,0.11719561368227005,0.1747247278690338,0.1747247278690338,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0011574693489819765,0.0,0.0,0.0,"[217073, 3030, 3030]",0.0,0.0,0.0011032521724700928,False,80,0.1,0.0007505596149712801,0.8352490663528442,0.43628302216529846,0.43553242087364197,0.0007505596149712801,0.8352490663528442,2.6600228011375293e-05,0.5,-0.001141950604505837,0.4303278625011444,0.0,0.2188209891319275
0,55.0,0.23194155097007751,0.23057838678359985,0.2361169159412384,0.23590152561664582,0.4860585927963257,0.9972432255744934,0.15,0.19419342279434204,0.050182655453681946,24,6060,0.058200493454933167,0.058200493454933167,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2371634542942047,0.26904502511024475,0.2521551251411438,0.24163639545440674,0.9991379976272583,1.9253891706466675,2.217129945755005,0.6091348528862,1.684273769342326e-07,0.003284307662397623,0.017651302739977837,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017084948485717177,0.0,0.0,0.0,0.007779949344694614,0.800000011920929,0.0,18.0,0.0,5.0,0.005,1.0,0.0,0.0,0.29608017206192017,0.10020916163921356,0.0,15.0,0.0,13.0,0.0,2.0,0.0,3.0,0.0,0.8666666746139526,0.0,0.7737011909484863,margin,margin,0.003649615915492177,18.0,5.0,0.002508183242753148,0.8666666150093079,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9098532199859619,0.7025665044784546,0.9829639196395874,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9098532199859619,0.7025665044784546,0.9829638600349426,0.0,0.0,0.0,0.0,0.0,0.19693486590038314,1.000000011175871,0.009126035496592522,0.009561078622937202,0.27125316858291626,0.9372398853302002,0.9372398853302002,0.208366259932518,2.0,0.0063821421936154366,0.16636821627616882,0.0,0.006411592476069927,0.006411592476069927,0.0,0.02877359837293625,0.007193399593234062,0.06229665130376816,0.06229665130376816,0.14470291137695312,0.11569470167160034,0.1737111359834671,0.1737111359834671,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.006411592476069927,0.0,0.0,0.0,"[217073, 3030, 3030]",0.0,0.0,0.0027537792921066284,False,80,0.25,0.011631074361503124,0.9655172228813171,0.4550846219062805,0.4434535503387451,0.011631074361503124,0.9655172228813171,-0.002663678489625454,0.5,-0.009734263643622398,0.3964334726333618,0.0,0.3483180105686188
1,25.0,0.22943632304668427,0.2232205629348755,0.24634654819965363,0.24494656920433044,0.494975209236145,0.9999975562095642,0.15,0.19400115311145782,0.050182655453681946,24,6054,0.05360808223485947,0.05360808223485947,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.22987443208694458,0.2529236972332001,0.2519371807575226,0.26526471972465515,0.999052107334137,0.007166574243456125,0.019236089661717415,0.007063485682010651,6.637441174461856e-07,0.0024852948263287544,0.006559622008353472,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049689458683133125,0.0,0.0,0.0,3.105401628999971e-05,0.5,0.0,12.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.004903879482299089,12.0,5.0,9.612043504603207e-05,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.3670876920223236,0.36708682775497437,0.36708903312683105,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.3670876920223236,0.36708682775497437,0.36708906292915344,0.0,0.0,0.0,0.0,0.0,0.21470274342394374,0.9999999925494194,0.0014806997496634722,0.0015795694198459387,0.513740599155426,0.9999918937683105,0.9999918937683105,0.04230199754238129,0.0,0.0002601786982268095,0.01635628566145897,0.0,0.0002613792894408107,0.0002613792894408107,0.0,0.002601786982268095,0.0002601786982268095,0.0,0.0,0.13336966931819916,0.10693750530481339,0.15980184078216553,0.15980184078216553,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0002613792894408107,0.0,0.0,0.0,"[217073, 3027, 3027]",0.0,0.0,0.0009103566408157349,True,65,0.1,0.0007510881987400353,0.6819923520088196,0.7168397307395935,0.7160885334014893,0.0007510881987400353,0.6819923520088196,0.0005627480568364263,0.7692307829856873,-1.5515019185841084e-05,0.5927977561950684,0.0,0.2950323820114136
1,25.0,0.2308977097272873,0.22452681958675386,0.24655532836914062,0.24495921432971954,0.4944952726364136,0.9999634623527527,0.15,0.19400115311145782,0.050182655453681946,24,6054,0.05360808223485947,0.05360808223485947,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2293144315481186,0.2536470293998718,0.2519366145133972,0.26510196924209595,0.9990178346633911,0.13876669108867645,0.13422664999961853,0.03734533116221428,6.969431183279085e-07,0.00248133996501565,0.007094397209584713,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004454192705452442,0.0,0.0,0.0,0.0005458077066577971,0.6000000238418579,0.0,12.0,0.0,5.0,0.005,1.0,0.0,0.0,0.9211665987968445,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.7443975806236267,margin,margin,0.004395890515297651,12.0,5.0,0.0006041089654900134,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.39701464772224426,0.36634618043899536,0.4678191840648651,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.39701464772224426,0.36634618043899536,0.4678191840648651,0.0,0.0,0.0,0.0,0.0,0.19693486590038314,1.0,0.0016025935765355825,0.0017086777370423079,0.4283611476421356,0.9997021555900574,0.9997021555900574,0.04716969653964043,0.0,0.001002107048407197,0.02518605813384056,0.0,0.0010067312978208065,0.0010067312978208065,0.0,0.004008428193628788,0.001002107048407197,0.0,0.0,0.13340885937213898,0.10693750530481339,0.15988022089004517,0.15988022089004517,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0010067312978208065,0.0,0.0,0.0,"[217073, 3027, 3027]",0.0,0.0,0.0022658556699752808,True,65,0.25,0.00981501117348671,0.9425287246704102,0.7264407873153687,0.7166256904602051,0.00981501117348671,0.9425287246704102,-0.0010477510513737798,0.5,-0.003008779836818576,0.4972299039363861,0.0,0.3222731351852417
2,25.0,0.2269311100244522,0.20157027542591094,0.22964508831501007,0.22768163979053496,0.49380072951316833,0.9999930262565613,0.15,0.19303980469703674,0.050182655453681946,24,6024,0.05360808223485947,0.05360808223485947,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.24367967247962952,0.24518652260303497,0.2548244893550873,0.25630927085876465,0.999817967414856,0.011320661753416061,0.010888808406889439,0.01057817880064249,6.869969411127386e-07,0.0032299996819347143,0.006559629458934069,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004764345474541187,0.0,0.0,0.0,0.00023565441370010376,0.8125,0.0,15.0,0.0,4.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.00491343904286623,15.0,4.0,8.656084537506104e-05,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.3670881390571594,0.3670870065689087,0.3670891225337982,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.3670881390571594,0.3670870065689087,0.3670891225337982,0.0,0.0,0.0,0.0,0.0,0.20318890096805922,0.9999999850988388,0.0012707003625109792,0.001390563789755106,0.4558466076850891,0.9999825954437256,0.9999825954437256,0.04262372851371765,0.0,0.0004164457495789975,0.026178691536188126,0.0,0.00041836744640022516,0.00041836744640022516,0.0,0.004164457321166992,0.0004164457495789975,0.0,0.0,0.13337373733520508,0.10693750530481339,0.15980997681617737,0.15980997681617737,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.00041836744640022516,0.0,0.0,0.0,"[217073, 3012, 3012]",0.0,0.0,0.0012014955282211304,True,65,0.1,0.0010662369895726442,0.6896551847457886,0.6913161277770996,0.6902498602867126,0.0010662369895726442,0.6896551847457886,0.001241485239006579,0.6296296119689941,0.00043608766281977296,0.5724233984947205,0.0,0.30704551935195923
2,25.0,0.2265135645866394,0.2015688717365265,0.22964508831501007,0.22777703404426575,0.49368903040885925,0.9998798370361328,0.15,0.19303980469703674,0.050182655453681946,24,6024,0.05360808223485947,0.05360808223485947,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.24367985129356384,0.24518625438213348,0.2548295557498932,0.2563043236732483,0.999817967414856,0.02452172338962555,0.0016714627854526043,0.037043310701847076,6.600442361559544e-07,0.003229939378798008,0.0065744975581765175,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003909177612513304,0.0,0.0,0.0,0.0010908220428973436,0.8125,0.0,15.0,0.0,4.0,0.005,1.0,0.0,0.0,1.0040943622589111,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.5008728504180908,margin,margin,0.004559668246656656,15.0,4.0,0.00044033178710378706,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.3679201602935791,0.36716434359550476,0.3687913417816162,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.3679201602935791,0.36716434359550476,0.3687913417816162,0.0,0.0,0.0,0.0,0.0,0.19697644812221515,0.9999999962747097,0.001319635077379644,0.0014463526895269752,0.42502081394195557,0.9999642372131348,0.9999642372131348,0.043756477534770966,0.0,0.0018651782302185893,0.046872153878211975,0.0,0.0018737849313765764,0.0018737849313765764,0.0,0.007460712920874357,0.0018651782302185893,0.0,0.0,0.13341867923736572,0.10693750530481339,0.15989986062049866,0.15989986062049866,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0018737849313765764,0.0,0.0,0.0,"[217073, 3012, 3012]",0.0,0.0,0.00300540030002594,True,65,0.25,0.011316541582345963,0.938697338104248,0.7042745351791382,0.6929579973220825,0.011316541582345963,0.938697338104248,-0.002249642740935087,0.5161290168762207,-0.0024525264743715525,0.5132867097854614,0.0,0.31508544087409973
3,5.0,0.22359082102775574,0.13450259268283843,0.2311064749956131,0.22895051240921022,0.49953171610832214,0.9999459385871887,0.15,0.19284753501415253,0.050182655453681946,24,6018,0.025352245196700096,0.05070449039340019,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.2619002163410187,0.24203212559223175,0.2452104389667511,0.25085723400115967,0.9996703267097473,0.0004868980322498828,0.000773624808061868,0.0023863492533564568,2.7674383090925403e-05,0.004663058090955019,0.0029865822289139032,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.0,0.0,0.0,0.0,0.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.35341036319732666,0.3534027636051178,0.3534203767776489,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.35341036319732666,0.3534027636051178,0.3534203767776489,0.0,0.0,0.0,0.0,0.0,0.20387586748723321,1.0000000074505806,0.0024672055151313543,0.0026280363090336323,0.6013802289962769,0.9999871253967285,0.9999871253967285,0.04235881567001343,0.0,0.0007465274538844824,0.04936547577381134,0.0,0.0007499723578803241,0.0007499723578803241,0.0,0.007465275004506111,0.0007465274538844824,0.0,0.0,0.126640185713768,0.10135795176029205,0.15192243456840515,0.15192243456840515,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0007499723578803241,0.0,0.0,0.0,"[217073, 3009, 3009]",0.0,0.0,0.0008871108293533325,True,45,0.1,0.00044473970774561167,0.6819923520088196,1.0743491649627686,1.0739043951034546,0.00044473970774561167,0.6819923520088196,0.00016030669212341309,0.7083333134651184,0.00014300337352324277,0.6213183999061584,0.0,0.2808467149734497
3,5.0,0.22421711683273315,0.13514645248651505,0.2311064749956131,0.22898971736431123,0.49944841861724854,0.9996325373649597,0.15,0.19284753501415253,0.050182655453681946,24,6018,0.025352245196700096,0.05070449039340019,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.26189982891082764,0.24203282594680786,0.24521180987358093,0.2508555054664612,0.9996703267097473,0.0004805304924957454,0.0007722860318608582,0.002301042200997472,2.6454954422661103e-05,0.004662942606955767,0.0029867752455174923,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.0,0.0,0.0,0.0,0.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.353433221578598,0.3534212112426758,0.3534421920776367,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.353433221578598,0.3534212112426758,0.3534421920776367,0.0,0.0,0.0,0.0,0.0,0.20387586748723321,1.0000000074505806,0.002468411810696125,0.0026289483066648245,0.6012914180755615,0.9999871850013733,0.9999871850013733,0.042362507432699203,0.0,0.001926798140630126,0.050965070724487305,0.0,0.0019356892444193363,0.0019356892444193363,0.0,0.007707192562520504,0.001926798140630126,0.0,0.0,0.12664037942886353,0.10135795176029205,0.1519228219985962,0.1519228219985962,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0019356892444193363,0.0,0.0,0.0,"[217073, 3009, 3009]",0.0,0.0,0.0022122710943222046,True,45,0.25,0.002373443217948079,0.7394636273384094,1.0747116804122925,1.072338342666626,0.002373443217948079,0.7394636273384094,0.0008263836498372257,0.75,0.0006484772311523557,0.6227208971977234,0.0,0.32862749695777893
4,35.0,0.23298539221286774,0.2270628273487091,0.2400835007429123,0.23878233134746552,0.4906768798828125,0.999984860420227,0.15,0.19457796216011047,0.050182655453681946,24,6072,0.05510825663805008,0.05510825663805008,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.22894003987312317,0.24986417591571808,0.2660468816757202,0.25514891743659973,0.998939573764801,0.11057741940021515,0.009710092097520828,0.019203700125217438,4.873209604738804e-07,0.002351599745452404,0.006866954732686281,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046840994618833065,0.0,0.0,0.0,0.0003159006591886282,0.800000011920929,0.0,11.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,margin,margin,0.004663047380745411,11.0,5.0,0.0003369530022609979,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.3738253712654114,0.3738248646259308,0.3738257884979248,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.3738253712654114,0.3738248348236084,0.3738257884979248,0.0,0.0,0.0,0.0,0.0,0.19693486590038314,1.000000011175871,0.0012608342804014683,0.0013844295172020793,0.38136327266693115,0.9995654821395874,0.9995654821395874,0.049810510128736496,0.0,0.0006193729932419956,0.037956804037094116,0.0,0.0006222311058081686,0.0006222311058081686,0.0,0.00619372958317399,0.0006193729932419956,0.0,0.0,0.136859729886055,0.10980787873268127,0.1639115810394287,0.1639115810394287,0.10000000149011612,0.1,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.0006222311058081686,0.0,0.0,0.0,"[217073, 3036, 3036]",0.0,0.0,0.0006657727062702179,True,75,0.1,0.0017213585088029504,0.6513410210609436,0.5147689580917358,0.5130477547645569,0.0017213585088029504,0.6513410210609436,0.0011689700186252594,0.5625,0.0002800280344672501,0.5430916547775269,0.0,0.19660106301307678
4,80.0,0.23903965950012207,0.23777844607830048,0.23903965950012207,0.23777844607830048,0.4711921215057373,0.9595611691474915,0.15,0.1938088834285736,0.050182655453681946,24,6048,0.06223461404442787,0.06223461404442787,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.25563108921051025,0.2730340361595154,0.25335177779197693,0.21798306703567505,0.997649073600769,3.178415536880493,3.2632668018341064,2.3353705406188965,1.2961645268205757e-07,0.0051172832027077675,0.02067144587635994,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011234189150854945,0.0,0.0,0.0,0.014045554213225842,1.0,0.0,15.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0013908311957493424,0.1577131450176239,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0612771138548851,margin,margin,0.0047076670452952385,15.0,5.0,0.000292332551907748,0.6366666555404663,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9964605569839478,0.9607458114624023,0.9996634721755981,0.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9964606165885925,0.9607457518577576,0.9996634125709534,0.0,0.0,0.0,0.0,0.0,0.19693486590038314,1.0000000055879354,0.003245368367061019,0.0035634380765259266,0.17894481122493744,0.8232260346412659,0.8232260346412659,0.37607085704803467,1.0,0.006761162541806698,0.16451695561408997,0.0,0.006792361848056316,0.006792361848056316,0.0,0.030646882951259613,0.007661720737814903,0.08870813250541687,0.08870813250541687,0.15527033805847168,0.12331247329711914,0.1872282177209854,0.1872282177209854,0.25,0.25,weighted_mean,1.0,0.03999999910593033,norm_clip,v4_multi_expert_residual,classifier_directional_residual,24.0,0.049958374351263046,1.0,1.0,0.0,0.006792361848056316,0.0,0.0,0.0,"[217073, 3024, 3024]",0.0,0.0,0.0016540102660655975,False,80,0.25,0.011891058646142483,0.9233716726303101,0.45984798669815063,0.44795694947242737,0.011891058646142483,0.9233716726303101,-0.0060585918836295605,0.38461539149284363,-0.003808810608461499,0.5,0.0,0.24575065076351166
