seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_class_count,message_help_margin,message_help_class_balanced,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,10.0,0.24614620208740234,0.10640391074120999,0.23023371398448944,0.07491909265518189,0.5000035762786865,0.9958446621894836,0.2,0.2380325049161911,0.05094422399997711,16,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.32784008979797363,0.3527609705924988,0.31939902901649475,0.999183714389801,0.0013044180814176798,0.2644241154193878,0.24025200307369232,0.26991337537765503,1.0,0.10000000149011612,0.10147601366043091,0.004320263396948576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10147601366043091,0.0,1.0000001192092896,1.6057970523834229,0.00577545166015625,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.5433856770396233,0.0027570759411901236,0.0030361611861735582,0.2495030164718628,0.9823458194732666,0.026507817208766937,0.05343758687376976,0.0003568983811419457,5.504787986865267e-05,5.504787986865267e-05,3.6765322874998674e-07,0.2650781273841858,0.026507817208766937,0.0,0.0,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.10000000149011612,0.1,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.026507794857025146,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.1,0.00015320038073696196,0.48275861144065857,1.6042975187301636,1.6041443347930908,-0.3652089238166809,0.02495007961988449
0,10.0,0.24614620208740234,0.1062803477048874,0.23023371398448944,0.07491909265518189,0.5000248551368713,0.9869876503944397,0.2,0.2380325049161911,0.05094422399997711,16,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.325170636177063,0.35318028926849365,0.32164907455444336,0.9991910457611084,0.0013044181978330016,0.27057620882987976,0.20631037652492523,0.276999294757843,1.0,0.10000000149011612,0.10147601366043091,0.005020567215979099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10147601366043091,0.0,1.0,1.6062229871749878,0.008963465690612793,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.5416611842811108,0.002775992499664426,0.003091114107519388,0.24940064549446106,0.9818283319473267,0.050000011920928955,0.05791498348116875,0.00038749148370698094,9.873800445348024e-05,9.873800445348024e-05,7.791305733917397e-07,0.2995775640010834,0.07489439100027084,1.0,1.0,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.25,0.25,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.25,0.0005304320366121829,0.47413793206214905,1.604493498802185,1.6039631366729736,0.23148973286151886,0.02603527158498764
0,10.0,0.24614620208740234,0.10630314610898495,0.23023371398448944,0.07491909265518189,0.5000637769699097,0.9871847033500671,0.2,0.2380325049161911,0.05094422399997711,16,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.32646921277046204,0.3547665774822235,0.31876420974731445,0.9990261197090149,0.0013044180814176798,0.2720997929573059,0.2012445330619812,0.2762451469898224,1.0,0.10000000149011612,0.10147601366043091,0.005184302106499672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10147601366043091,0.0,1.0000001192092896,1.605955719947815,0.009332013316452503,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.5362376905977726,0.002618224825710058,0.002903949236497283,0.24934889376163483,0.9805916547775269,0.050000011920928955,0.0598292276263237,0.00038961012614890933,9.683018288342282e-05,9.683018288342282e-05,7.439967362188327e-07,0.3147904872894287,0.15739524364471436,1.0,1.0,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.5,0.5,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.5,0.0005475282669067383,0.47413793206214905,1.604568362236023,1.6040207147598267,0.2442050278186798,0.0278917383402586
0,10.0,0.24614620208740234,0.10630314610898495,0.23023371398448944,0.07488880157470704,0.4999468922615051,0.9873164892196655,0.2,0.2380325049161911,0.05094422399997711,16,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.32496580481529236,0.3618667423725128,0.3131674528121948,0.9982528686523438,0.0013044180814176798,0.2727493941783905,0.1984802782535553,0.282829225063324,1.0,0.10000000149011612,0.10147601366043091,0.0052377632819116116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10147601366043091,0.0,1.0,1.6042320728302002,0.012177109718322754,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.5431288368999958,0.003451067488640547,0.004290264565497637,0.24942824244499207,0.9821677207946777,0.050000011920928955,0.06093604862689972,0.00037655094638466835,9.576327283866704e-05,9.576327283866704e-05,6.977338671276812e-07,0.3237340450286865,0.3237340450286865,1.0,1.0,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,1.0,1.0,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,1.0,0.0005349167622625828,0.4913793206214905,1.6047031879425049,1.6041680574417114,0.23817750811576843,0.035411037504673004
1,25.0,0.2212829440832138,0.13163083083927632,0.21929387748241425,0.13865442704409361,0.4999849796295166,0.9941092133522034,0.2,0.24286341667175293,0.05094422399997711,16,2212,0.05360808223485947,0.05360808223485947,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.34765613079071045,0.3318103849887848,0.3205334544181824,0.9994909763336182,0.00271433312445879,0.07578069716691971,0.007848883047699928,0.14094696938991547,1.0,0.10000000149011612,0.10126582533121109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01005768496543169,6.238576315809041e-05,0.269565224647522,116.0,5.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10126582533121109,0.0,1.0000001192092896,1.670372486114502,0.3122616708278656,0.23275862634181976,0.13333334028720856,0.20147420465946198,0.19490254872563717,0.5242892876267433,0.010947726666927338,0.015932250767946243,0.2273654341697693,0.9563151001930237,0.02286241576075554,0.05336066335439682,0.00021822571579832584,5.746681563323364e-05,5.746681563323364e-05,2.3501840473727498e-07,0.2286241352558136,0.02286241576075554,0.0,0.0,0.010769509710371494,0.010769509710371494,0.010769509710371494,0.010769509710371494,0.10000000149011612,0.1,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.022862430661916733,0.0,0.0,0.0,"[36101, 1106, 1106]",0.0,0.0,0.0,True,65,0.1,0.00042446627048775554,0.24137930572032928,1.5712560415267944,1.570831537246704,0.29472267627716064,-0.0592404380440712
1,5.0,0.2501243054866791,0.19871176928281784,0.216807559132576,0.1390792027115822,0.5000462532043457,0.9833043217658997,0.2,0.24286341667175293,0.05094422399997711,16,2212,0.012676122598350048,0.05070449039340019,0.25,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.33477628231048584,0.3189816474914551,0.3462420701980591,0.9994867444038391,0.0006418289849534631,0.26797354221343994,0.2587624192237854,0.2704431712627411,1.0,0.10000000149011612,0.10126582533121109,0.004777447320520878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10126582533121109,0.0,1.0000001192092896,1.6056872606277466,0.0037045360077172518,0.23275862634181976,0.1599999964237213,0.1723300963640213,0.19490254872563717,0.5292227268218994,0.003928216174244881,0.004237762652337551,0.2499156892299652,0.9791509509086609,0.050000011920928955,0.04682417958974838,0.0004981261445209384,9.661967487772927e-05,9.661967487772927e-05,1.1877232282131445e-06,0.24309980869293213,0.06077495217323303,1.0,1.0,0.010149585083127022,0.010149585083127022,0.010149585083127022,0.010149585083127022,0.25,0.25,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1106, 1106]",0.0,0.0,0.0,True,45,0.25,0.0008145334431901574,0.2844827473163605,1.5966441631317139,1.595829725265503,0.05886732041835785,-0.00010954558092635125
1,5.0,0.25111883878707886,0.1994804933667183,0.22078567743301392,0.13433127030730246,0.5001057982444763,0.9833942651748657,0.2,0.24286341667175293,0.05094422399997711,16,2212,0.012676122598350048,0.05070449039340019,0.25,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.3347768783569336,0.31888702511787415,0.34633609652519226,0.9994798898696899,0.0006418289849534631,0.2678908705711365,0.2608778476715088,0.2716672122478485,1.0,0.10000000149011612,0.10126582533121109,0.004752703011035919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10126582533121109,0.0,1.0000001192092896,1.6057714223861694,0.003731071949005127,0.23275862634181976,0.1599999964237213,0.1723300963640213,0.19490254872563717,0.5290036872029305,0.003935573622584343,0.0042500258423388,0.24994565546512604,0.9790692925453186,0.050000011920928955,0.04746905341744423,0.0005942225689068437,9.628052794141695e-05,9.628052794141695e-05,1.423730736860307e-06,0.247227281332016,0.123613640666008,1.0,1.0,0.010149585083127022,0.010149585083127022,0.010149585083127022,0.010149585083127022,0.5,0.5,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1106, 1106]",0.0,0.0,0.0,True,45,0.5,0.0007790347444824874,0.2844827473163605,1.5973589420318604,1.5965797901153564,0.2320941984653473,0.0020177559927105904
1,5.0,0.25111883878707886,0.1994469091296196,0.21780209243297577,0.12826951444149018,0.49977022409439087,0.9834388494491577,0.2,0.24286341667175293,0.05094422399997711,16,2212,0.012676122598350048,0.05070449039340019,0.25,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.3361968994140625,0.3178587257862091,0.3459443747997284,0.9994405508041382,0.0006418289849534631,0.26588520407676697,0.2602970004081726,0.2685699760913849,1.0,0.10000000149011612,0.10126582533121109,0.004549036268144846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10126582533121109,0.0,1.0000001192092896,1.6058803796768188,0.0041539790108799934,0.23275862634181976,0.1599999964237213,0.1723300963640213,0.19490254872563717,0.5283654741942883,0.003997258376330137,0.0043200659565627575,0.2499760091304779,0.9788987636566162,0.050000011920928955,0.04781020060181618,0.0006614973535761237,9.608037362340838e-05,9.608037362340838e-05,1.5790731140441494e-06,0.24946090579032898,0.24946090579032898,1.0,1.0,0.010149585083127022,0.010149585083127022,0.010149585083127022,0.010149585083127022,1.0,1.0,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.05000000447034836,0.0,0.0,0.0,"[36101, 1106, 1106]",0.0,0.0,0.0,True,45,1.0,0.0007535435142926872,0.2844827473163605,1.5973371267318726,1.596583604812622,0.3891727030277252,0.004640290979295969
2,1.0,0.23918448388576508,0.11755587160587311,0.24017901718616486,0.09375481698662043,0.5,0.999593198299408,0.2,0.24418093264102936,0.05094422399997711,16,2224,0.0025070090778172016,0.05014017969369888,0.05,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.3470127582550049,0.3176659643650055,0.335321307182312,0.9994014501571655,0.0001262522564502433,0.2695316970348358,0.2695316672325134,0.2695316672325134,1.0,0.10000000149011612,0.10071942210197449,0.004752920474857092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10071942210197449,0.0,1.0000001192092896,1.60941481590271,2.154111825802829e-05,0.23275862634181976,0.1764705926179886,0.16995073854923248,0.19490254872563717,0.591256856918335,0.0054534259252250195,0.005832164082676172,0.263328492641449,0.9919397830963135,0.008327686227858067,0.016048122197389603,0.0,1.609584978723433e-05,1.609584978723433e-05,0.0,0.08327686041593552,0.008327686227858067,0.0,0.0,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.10000000149011612,0.1,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.008327624760568142,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,True,40,0.1,0.00043785982416011393,0.47413793206214905,1.5981990098953247,1.5977610349655151,-0.23745884001255035,-0.0579925961792469
2,1.0,0.2381899505853653,0.11620012819766998,0.23868721723556519,0.09090433893725276,0.5,0.9974760413169861,0.2,0.24418093264102936,0.05094422399997711,16,2224,0.0025070090778172016,0.05014017969369888,0.05,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.3470127582550049,0.3176659643650055,0.335321307182312,0.9994014501571655,0.0001262522564502433,0.2695316970348358,0.2695316672325134,0.2695316672325134,1.0,0.10000000149011612,0.10071942210197449,0.004752920474857092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.10071942210197449,0.0,1.0000001192092896,1.60941481590271,2.154111825802829e-05,0.23275862634181976,0.1764705926179886,0.16995073854923248,0.19490254872563717,0.591256856918335,0.0054534259252250195,0.005832164082676172,0.263328492641449,0.9919397830963135,0.02082560583949089,0.016055410727858543,0.0,4.025790258310735e-05,4.025790258310735e-05,0.0,0.08330242335796356,0.02082560583949089,0.0,0.0,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.25,0.25,layernorm,1.0,0.05000000074505806,norm_clip,v3_node_residual,residual_correction,1.0,1.0,0.020825449377298355,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,True,40,0.25,0.001129058888182044,0.48275861144065857,1.5986725091934204,1.5975433588027954,-0.02150709554553032,-0.03445359691977501
