seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,10.0,0.24714072048664093,0.10836015194654465,0.23023371398448944,0.07488880157470704,0.500027060508728,0.9990114569664001,0.2,0.2380325049161911,0.05094422399997711,8,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,5.0,2.0,1.0,0.32699671387672424,0.3431156277656555,0.32988765835762024,0.9997943639755249,0.001304417965002358,0.19279398024082184,0.11282700300216675,0.21581237018108368,1.0,0.10000000149011612,0.10147601366043091,6.806689634686336e-05,0.623424768447876,116.0,76.0,40.0,0.0,0.6551724076271057,0.0010743315797299147,0.6551724137931034,0.3448275862068966,0.0,0.3448275862068966,1.6053797006607056,0.0216428991407156,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.2759406864643097,0.0028864198829978704,0.0032070199958980083,0.3315841555595398,0.9870160222053528,0.010479297488927841,0.002756859175860882,0.0009337678784504533,2.839934950316092e-06,9.619062666388345e-07,0.1047929972410202,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.10000000149011612,0.1,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.010480914264917374,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.1,2.4784227207419463e-05,0.517241358757019,1.6047232151031494,1.6046984195709229,0.3075062036514282,-0.15563315153121948
0,10.0,0.24664345383644104,0.10841824263334274,0.23023371398448944,0.07488880157470704,0.5000276565551758,0.9928644895553589,0.2,0.2380325049161911,0.05094422399997711,8,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,5.0,2.0,1.0,0.3283194899559021,0.3455338776111603,0.3261466920375824,0.9996899962425232,0.0013044181978330016,0.1931542009115219,0.11369218677282333,0.22096073627471924,1.0,0.10000000149011612,0.10147601366043091,6.751994078513235e-05,0.6233702301979065,116.0,76.0,40.0,0.0,0.6551724076271057,0.0030665418598800898,0.6551724137931034,0.3448275862068966,0.0,0.3448275862068966,1.6050679683685303,0.022343624383211136,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.27857907116413116,0.0033603536430746317,0.0038364233914762735,0.3319588899612427,0.9877685904502869,0.03123260848224163,0.0031336871907114983,0.0009552215342409909,8.070295734796673e-06,2.4600158212706447e-06,0.12493043392896652,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.25,0.25,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.031237121671438217,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.25,0.0005412739119492471,0.5517241358757019,1.6047234535217285,1.6041820049285889,-0.05962101370096207,0.119720458984375
0,10.0,0.24614620208740234,0.10747895799577237,0.22874191403388977,0.07585842069238424,0.500028669834137,0.9752724170684814,0.2,0.2380325049161911,0.05094422399997711,8,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,5.0,2.0,1.0,0.3281661570072174,0.34557637572288513,0.32625749707221985,0.9996881484985352,0.0013044180814176798,0.19349484145641327,0.11400680243968964,0.22091573476791382,1.0,0.10000000149011612,0.10147601366043091,7.448346150340512e-05,0.6226810812950134,116.0,76.0,40.0,0.0,0.6551724076271057,0.00601904047653079,0.6551724137931034,0.3448275862068966,0.0,0.3448275862068966,1.6050999164581299,0.021606838330626488,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.27472981065511703,0.003523857332766056,0.0040503875352442265,0.3318593204021454,0.9868675470352173,0.06719286739826202,0.003334780689328909,0.000890668947249651,1.717635677778162e-05,4.587543116940651e-06,0.13438573479652405,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.5,0.5,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.06720311939716339,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,0.5,-0.00041032658191397786,0.4482758641242981,1.6047234535217285,1.6051338911056519,-0.025097103789448738,-0.07007145881652832
0,10.0,0.24614620208740234,0.10657701455056667,0.23073098063468933,0.07765079755336046,0.5000308752059937,0.9378315210342407,0.2,0.2380325049161911,0.05094422399997711,8,2168,0.025708895176649094,0.05141779035329819,0.5,1.0,1.0,5.0,2.0,1.0,0.32515352964401245,0.34630993008613586,0.3285365402698517,0.9996461272239685,0.0013044180814176798,0.19550596177577972,0.11349541693925858,0.21819935739040375,1.0,0.10000000149011612,0.10147601366043091,0.00012034474639222026,0.6096107363700867,115.0,76.0,39.0,1.0,0.6608695387840271,0.011579645797610283,0.6637931034482759,0.3448275862068966,0.0,0.3391304347826087,1.6047768592834473,0.021403277292847633,0.23275862634181976,0.1538461595773697,0.1899999976158142,0.19490254872563717,0.2790796086192131,0.0033218751195818186,0.0037099323235452175,0.3327587842941284,0.9881406426429749,0.14011454582214355,0.003481556661427021,0.000759830349124968,3.586470120353624e-05,7.827271474525332e-06,0.14011454582214355,0.01030134130269289,0.01030134130269289,0.01030134130269289,0.01030134130269289,1.0,1.0,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.14013676345348358,0.0,0.0,0.0,"[36101, 1084, 1084]",0.0,0.0,0.0,True,50,1.0,0.005757787264883518,0.6293103694915771,1.6047234535217285,1.5989657640457153,-0.003695569932460785,0.06247742846608162
1,75.0,0.22774739563465118,0.13220147490501405,0.2267528623342514,0.13109092116355897,0.49999868869781494,0.9999891519546509,0.2,0.24242424964904785,0.05094422399997711,8,2208,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,5.0,2.0,1.0,0.2594837546348572,0.5314221978187561,0.2090940624475479,0.9219521284103394,0.003115144558250904,0.1885729730129242,0.09168674051761627,0.2711201012134552,1.0,0.10000000149011612,0.10144927352666855,0.0,0.510369062423706,116.0,87.0,29.0,0.0,0.75,1.2493339454522356e-05,0.75,0.25,0.0,0.25,1.6948777437210083,0.9828081130981445,0.26724138855934143,0.1785714328289032,0.22058823704719543,0.20285204991087344,0.06990264542400837,0.07551513612270355,0.11379960924386978,0.3926267921924591,0.8370373845100403,0.0005402195965871215,0.00034431362291797996,3.8377613236662e-05,4.2939285549437045e-07,4.786064877748686e-08,0.0054021961987018585,0.012470982037484646,0.012470982037484646,0.012470982037484646,0.012470982037484646,0.10000000149011612,0.1,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.0005405451520346105,0.0,0.0,0.0,"[36101, 1104, 1104]",0.0,0.0,0.0,False,80,0.1,9.98686118691694e-06,0.7413793206214905,1.6027449369430542,1.6027350425720215,0.20616042613983154,0.0986122116446495
1,75.0,0.22774739563465118,0.13228734731674194,0.2267528623342514,0.131227570772171,0.49999868869781494,0.9983118176460266,0.2,0.24242424964904785,0.05094422399997711,8,2208,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,5.0,2.0,1.0,0.25980648398399353,0.5400261282920837,0.20016738772392273,0.9141833186149597,0.003115144558250904,0.1820327490568161,0.05888121575117111,0.22308580577373505,1.0,0.10000000149011612,0.10144927352666855,0.0,1.3180369138717651,116.0,33.0,83.0,0.0,0.2844827473163605,0.00011333412112435326,0.28448275862068967,0.7155172413793104,0.0,0.7155172413793104,1.7125688791275024,0.292121946811676,0.2068965584039688,0.25,0.17401960492134094,0.2069997697444163,0.04293789807707071,0.07137298583984375,0.09264543652534485,0.4879806935787201,0.8443676233291626,0.006268445402383804,0.0013852928532287478,4.999717202736065e-05,4.318990249885246e-06,1.5587846746711875e-07,0.025073781609535217,0.012470982037484646,0.012470982037484646,0.012470982037484646,0.012470982037484646,0.25,0.25,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.006272058002650738,0.0,0.0,0.0,"[36101, 1104, 1104]",0.0,0.0,0.0,False,80,0.25,0.0002015531063079834,0.2931034564971924,1.6027449369430542,1.6025433540344238,0.5272097587585449,0.1375332921743393
1,80.0,0.2272501289844513,0.13281732685863973,0.2272501289844513,0.13281732685863973,0.49999868869781494,0.9872868061065674,0.2,0.24242424964904785,0.05094422399997711,8,2208,0.06223461404442787,0.06223461404442787,1.0,1.0,1.0,5.0,2.0,1.0,0.29528212547302246,0.43487656116485596,0.26984134316444397,0.9788332581520081,0.0031568282283842564,0.14759740233421326,0.045859284698963165,0.1987195760011673,1.0,0.10000000149011612,0.10144927352666855,0.0,1.367099404335022,113.0,38.0,75.0,3.0,0.3362831771373749,0.0005380400689318776,0.35344827586206895,0.6724137931034483,0.0,0.6637168141592921,1.6026021242141724,0.5250794291496277,0.16379310190677643,0.13793103396892548,0.17936117947101593,0.20607419486343254,0.053426217287778854,0.06366769969463348,0.08193999528884888,0.4424019455909729,0.8514866828918457,0.028711587190628052,0.002193369437009096,3.194790406269021e-05,1.3876848242944106e-05,2.021256619855194e-07,0.057423174381256104,0.012653453275561333,0.012653453275561333,0.012653453275561333,0.012653453275561333,0.5,0.5,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.028722988441586494,0.0,0.0,0.0,"[36101, 1104, 1104]",0.0,0.0,0.0,False,80,0.5,6.406985630746931e-05,0.3017241358757019,1.6027450561523438,1.6026809215545654,0.14038123190402985,0.01728535071015358
1,80.0,0.2332172989845276,0.16802051067352294,0.2332172989845276,0.16802051067352294,0.49999868869781494,0.9156842231750488,0.2,0.24242424964904785,0.05094422399997711,8,2208,0.06223461404442787,0.06223461404442787,1.0,1.0,1.0,5.0,2.0,1.0,0.2822475731372833,0.4566214680671692,0.2611309587955475,0.9698017239570618,0.0031568282283842564,0.09851182997226715,0.032251521944999695,0.14205867052078247,1.0,0.10000000149011612,0.10144927352666855,0.0,1.6050554513931274,114.0,36.0,78.0,2.0,0.31578946113586426,0.002836467931047082,0.3275862068965517,0.6896551724137931,0.0,0.6842105263157895,1.6800384521484375,0.7759230732917786,0.18965516984462738,0.2068965584039688,0.2309582382440567,0.19738201860144677,0.10593970492482185,0.0455172099173069,0.05509250983595848,0.3923049867153168,0.8959289789199829,0.10037384927272797,0.00306978402659297,3.460058360360563e-05,3.8843369111418724e-05,4.378168796392856e-07,0.10037384927272797,0.012653453275561333,0.012653453275561333,0.012653453275561333,0.012653453275561333,1.0,1.0,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.10040556639432907,0.0,0.0,0.0,"[36101, 1104, 1104]",0.0,0.0,0.0,False,80,1.0,0.002459291834384203,0.31896552443504333,1.6027450561523438,1.6002857685089111,0.3191213011741638,-0.08946052938699722
2,1.0,0.23968175053596497,0.11781655251979828,0.23669816553592682,0.08708093641325831,0.5,0.9997947812080383,0.2,0.24418093264102936,0.05094422399997711,8,2224,0.0025070090778172016,0.05014017969369888,0.05,1.0,1.0,5.0,2.0,1.0,0.31053200364112854,0.3335556983947754,0.35591235756874084,0.9985916614532471,0.0001262522564502433,0.26796236634254456,0.26786449551582336,0.26803410053253174,1.0,0.10000000149011612,0.10071942210197449,0.004752920474857092,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609405755996704,1.8799304598360322e-05,0.23275862634181976,0.1764705926179886,0.16995073854923248,0.19490254872563717,0.24171822518110275,0.0012179150944575667,0.0012868259800598025,0.4419899582862854,0.9798798561096191,0.0038461959920823574,0.0016360993031412363,0.0,1.640965137994499e-06,0.0,0.038461968302726746,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.10000000149011612,0.1,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.0038477880880236626,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,True,40,0.1,0.0005831163725815713,0.4913793206214905,1.5988887548446655,1.598305583000183,0.4013225734233856,0.1345696598291397
2,1.0,0.23968175053596497,0.11798821985721589,0.23669816553592682,0.08708093641325831,0.5,0.9988081455230713,0.2,0.24418093264102936,0.05094422399997711,8,2224,0.0025070090778172016,0.05014017969369888,0.05,1.0,1.0,5.0,2.0,1.0,0.31053200364112854,0.3335556983947754,0.35591235756874084,0.9985916614532471,0.0001262522564502433,0.26796236634254456,0.26786449551582336,0.26803410053253174,1.0,0.10000000149011612,0.10071942210197449,0.004752920474857092,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609405755996704,1.8799304598360322e-05,0.23275862634181976,0.1764705926179886,0.16995073854923248,0.19490254872563717,0.24171822518110275,0.0012179150944575667,0.0012868259800598025,0.4419899582862854,0.9798798561096191,0.009617242962121964,0.0016362264286726713,0.0,4.102731963939732e-06,0.0,0.038468971848487854,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.010029740631580353,0.25,0.25,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.00962122343480587,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,True,40,0.25,0.002342144027352333,0.5344827771186829,1.5988891124725342,1.5965468883514404,0.30781176686286926,0.07082555443048477
