seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_gate_mean,benefit_gate_min,benefit_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,105.0,0.2425014078617096,0.2240110754966736,0.24306733906269073,0.22341920733451842,0.46145099401474,0.8158589601516724,0.2,0.23907895386219025,0.05026315897703171,8,3634,0.06645528972148895,0.06645528972148895,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32054850459098816,0.35700327157974243,0.3224482238292694,0.998862624168396,0.001101572997868061,0.13101443648338318,0.005401074420660734,0.9790602922439575,1.0,0.10000000149011612,0.10016510635614395,0.0,0.3181910216808319,44.0,34.0,10.0,338.0,0.7727272510528564,1.8067657947540283e-07,0.08900523560209424,0.02617801047120419,1.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309765160083771,0.33097657561302185,0.33097657561302185,0.0,0.0,0.0,0.0,0.0,0.21599407626804887,0.9999999701976776,0.1257116198539734,0.1286308765411377,0.47542238235473633,0.9532219171524048,2.6207372272324392e-08,3.921933966921642e-06,0.0,2.6234959094040278e-08,0.0,2.620737120651029e-07,0.06689287722110748,0.0668928325176239,0.06689291447401047,0.06689291447401047,0.10000000149011612,0.1,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,2.6234959094040278e-08,0.0,0.0,0.0,"[30019, 0, 3634]",0.0,0.0,0.0,True,145,0.1,1.0595774924127e-08,0.11256544291973114,0.07632777839899063,0.07632776349782944,0.24890433251857758,-0.12263043969869614
0,100.0,0.24632145464420319,0.22653512358665467,0.24278438091278076,0.223193696141243,0.4639330804347992,0.8542056679725647,0.2,0.23868420720100403,0.05026315897703171,8,3628,0.06559734046459198,0.06559734046459198,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3376583755016327,0.3387637436389923,0.323577880859375,0.9998032450675964,0.0010797838913276792,0.17923752963542938,0.003904877230525017,0.986134946346283,1.0,0.10000000149011612,0.10033076256513596,0.005820986814796925,0.20459866523742676,70.0,56.0,14.0,312.0,0.800000011920929,1.2079120779162622e-06,0.14659685863874344,0.03664921465968586,0.8947368421052632,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281305134296417,0.32813048362731934,0.32813048362731934,0.0,0.0,0.0,0.0,0.0,0.2110898390413387,0.9999999925494194,0.03957686200737953,0.046257734298706055,0.3179270625114441,0.9029616117477417,1.493670538366132e-07,9.061595847015269e-06,0.0,1.495242827331822e-07,0.0,5.974682153464528e-07,0.06600325554609299,0.0660029798746109,0.06600352376699448,0.06600352376699448,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,1.495242827331822e-07,0.0,0.0,0.0,"[30019, 0, 3628]",0.0,0.0,0.0,True,140,0.25,-7.119010381195778e-10,0.026178009808063507,0.08968950808048248,0.08968950808048248,-0.03613551706075668,0.002881658263504505
0,105.0,0.24264289438724518,0.22411711513996124,0.24009621143341064,0.22150954753160476,0.46145099401474,0.8158555626869202,0.2,0.2388157844543457,0.05026315897703171,8,3630,0.06645803898572922,0.06645803898572922,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3276800215244293,0.35866913199424744,0.31365084648132324,0.9985613822937012,0.0011029046727344394,0.2904435396194458,0.012203969992697239,0.9999654293060303,1.0,0.10000000149011612,0.10027547925710678,0.009121276438236237,0.18168744444847107,46.0,36.0,10.0,336.0,0.782608687877655,4.410338988236617e-06,0.09424083769633508,0.02617801047120419,0.9310344827586207,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309982717037201,0.3309982717037201,0.3309982717037201,0.0,0.0,0.0,0.0,0.0,0.23227677232276772,0.9999999776482582,0.04931807145476341,0.0731089860200882,0.4540378153324127,0.9664248824119568,4.448932031664299e-07,1.3315404430613853e-05,0.0,4.453615360944241e-07,0.0,8.897864063328598e-07,0.06689351797103882,0.0668928325176239,0.06689419597387314,0.06689419597387314,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,4.453615360944241e-07,0.0,0.0,0.0,"[30019, 0, 3630]",0.0,0.0,0.0,True,145,0.5,1.5754589810512698e-07,0.07329843193292618,0.07605285942554474,0.0760527029633522,0.38349083065986633,0.11601099371910095
0,100.0,0.2461799681186676,0.22638776898384094,0.24207696318626404,0.22233338207006453,0.46389538049697876,0.8541861176490784,0.2,0.23855262994766235,0.05026315897703171,8,3626,0.06561485677957535,0.06561485677957535,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3344443440437317,0.32943451404571533,0.3361211121082306,0.9999668002128601,0.0010811418760567904,0.186091810464859,0.0037152483128011227,0.999334990978241,1.0,0.10000000149011612,0.10038609802722931,0.0,0.11296497285366058,50.0,44.0,6.0,332.0,0.8799999952316284,2.241768015665002e-05,0.11518324607329843,0.015706806282722512,0.9444444444444444,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32827427983283997,0.32827433943748474,0.32827433943748474,0.0,0.0,0.0,0.0,0.0,0.21135515955242437,0.9999999664723873,0.02834690362215042,0.02991061843931675,0.3319852650165558,0.9434232115745544,1.9106068975816015e-06,2.8973910957574844e-05,0.0,1.9126182451145723e-06,0.0,1.9106068975816015e-06,0.0660073533654213,0.0660029798746109,0.06601171940565109,0.06601171940565109,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,1.9126182451145723e-06,0.0,0.0,0.0,"[30019, 0, 3626]",0.0,0.0,0.0,True,140,1.0,1.0811161246238044e-06,0.14921465516090393,0.0899074524641037,0.08990637212991714,0.463573694229126,-0.16574627161026
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408304288983345,0.4918149411678314,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05510827898979187,0.05510827898979187,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3296133279800415,0.3306179940700531,0.3397686779499054,0.9999147057533264,0.0008004258270375431,0.29893964529037476,0.24548737704753876,0.5627281069755554,1.0,0.10000000149011612,0.10021905601024628,0.010844996199011803,0.3381330370903015,82.0,62.0,20.0,300.0,0.7560975551605225,8.577254106967303e-08,0.16230366492146597,0.05235602094240838,0.8,0.24675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28985708951950073,0.2898552417755127,0.28985854983329773,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.9999999850988388,0.02868484891951084,0.02965676411986351,0.31458142399787903,0.9783121943473816,1.056138554389463e-08,1.9149190393363824e-06,0.0,1.0572502873174017e-08,0.0,1.0561385010987578e-07,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.10000000149011612,0.1,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,1.0572502873174017e-08,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0,True,75,0.1,8.884134672371147e-08,0.20942407846450806,0.827243447303772,0.8272433280944824,0.4743683636188507,-0.1567779928445816
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408304288983345,0.4918140172958374,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05510833114385605,0.05510833114385605,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32968777418136597,0.3338884115219116,0.3364237844944,0.999968409538269,0.0008004136616364121,0.3089149594306946,0.2582976520061493,0.6596707701683044,1.0,0.10000000149011612,0.10021905601024628,0.010839926078915596,0.40044915676116943,134.0,94.0,40.0,248.0,0.7014925479888916,7.797532930453599e-07,0.24607329842931938,0.10471204188481675,0.8095238095238095,0.3185840707964602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28985291719436646,0.28985196352005005,0.28985321521759033,0.0,0.0,0.0,0.0,0.0,0.21321558558812742,1.0000000074505806,0.0411347933113575,0.045071475207805634,0.3532099723815918,0.9875890612602234,8.709542242968382e-08,6.316619874269236e-06,0.0,8.718710375887895e-08,0.0,3.483816897187353e-07,0.055211231112480164,0.05521122366189957,0.05521123856306076,0.05521123856306076,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,8.718710375887895e-08,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0,True,75,0.25,3.5076240578746365e-07,0.16492146253585815,0.827242374420166,0.8272420763969421,0.6414126753807068,-0.05094984918832779
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408313050866127,0.4918152689933777,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.055108316242694855,0.055108316242694855,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33008286356925964,0.33460623025894165,0.3353109359741211,0.9999778866767883,0.0008004207629710436,0.33711522817611694,0.22155869007110596,0.7977883219718933,1.0,0.10000000149011612,0.10021905601024628,0.019934693351387978,0.2851974368095398,54.0,41.0,13.0,328.0,0.7592592835426331,6.446131806114863e-07,0.10732984293193717,0.034031413612565446,1.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289855033159256,0.28985482454299927,0.289855420589447,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.9999999925494194,0.009849227964878082,0.012050536461174488,0.3243413269519806,0.9754909873008728,9.746826634682293e-08,3.534456936904462e-06,0.0,9.757086161243933e-08,0.0,1.9493653269364586e-07,0.055211227387189865,0.05521122366189957,0.055211231112480164,0.055211231112480164,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,9.757086161243933e-08,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0,True,75,0.5,7.985773891050485e-07,0.14136125147342682,0.8272436857223511,0.8272428512573242,0.5646772384643555,-0.03747180849313736
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408313050866127,0.4918152689933777,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.055108413100242615,0.055108413100242615,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3340347707271576,0.3405947685241699,0.3253704905509949,0.999840497970581,0.0008004333358258009,0.3123640716075897,0.21220190823078156,0.8238939642906189,1.0,0.10000000149011612,0.10021905601024628,0.018333550542593002,0.3243328034877777,58.0,42.0,16.0,324.0,0.7241379022598267,3.6194405765854754e-06,0.1099476439790576,0.041884816753926704,0.8928571428571429,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898588180541992,0.28985822200775146,0.2898598611354828,0.0,0.0,0.0,0.0,0.0,0.2126891968990167,1.0,0.02537553757429123,0.0295547004789114,0.44965240359306335,0.9866272211074829,5.240049176791217e-07,9.500890882918611e-06,0.0,5.245564693723281e-07,0.0,5.240049176791217e-07,0.05521125718951225,0.05521122366189957,0.05521128699183464,0.05521128699183464,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,5.245564693723281e-07,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0,True,75,1.0,2.9954844649182633e-06,0.15445026755332947,0.8272420763969421,0.8272390365600586,0.5262027382850647,-0.03650851547718048
2,1.0,0.2593378722667694,0.08350651636719704,0.2623089849948883,0.19204486757516862,0.5,1.0,0.2,0.2409210503101349,0.05026315897703171,8,3662,0.0025070090778172016,0.05014017969369888,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32331418991088867,0.33031585812568665,0.34636998176574707,0.9996192455291748,3.3951982914004475e-05,0.2680225670337677,0.2678092420101166,0.26811131834983826,1.0,0.10000000149011612,0.10049153119325638,0.004752920474857092,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695316970348358,0.2695316672325134,0.2695316672325134,0.0,0.0,0.0,0.0,0.0,0.22927905836194212,1.000000037252903,0.002754626562818885,0.0029133756179362535,0.5665373206138611,0.9999812245368958,2.2190638215846548e-10,4.430155797763291e-08,0.0,2.221399730828466e-10,0.0,2.21906359954005e-09,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.10000000149011612,0.1,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,2.221399730828466e-10,0.0,0.0,0.0,"[30019, 0, 3662]",0.0,0.0,0.0,True,40,0.1,1.3886945815499985e-08,0.09685863554477692,1.3096871376037598,1.3096871376037598,0.39462026953697205,-0.10143715888261795
2,1.0,0.2593378722667694,0.08350651636719704,0.2623089849948883,0.19204486757516862,0.5,1.0,0.2,0.2409210503101349,0.05026315897703171,8,3662,0.0025070090778172016,0.05014017969369888,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32331418991088867,0.33031585812568665,0.34636998176574707,0.9996192455291748,3.3951982914004475e-05,0.2680225670337677,0.2678092420101166,0.26811131834983826,1.0,0.10000000149011612,0.10049153119325638,0.004752920474857092,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695316970348358,0.2695316672325134,0.2695316672325134,0.0,0.0,0.0,0.0,0.0,0.22927905836194212,1.000000037252903,0.002754626562818885,0.0029133756179362535,0.5665373206138611,0.9999812245368958,1.1887734130411332e-09,9.49310532405434e-08,0.0,1.1900247454121882e-09,0.0,4.755093652164533e-09,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,1.1900247454121882e-09,0.0,0.0,0.0,"[30019, 0, 3662]",0.0,0.0,0.0,True,40,0.25,8.691043973385604e-08,0.23036649823188782,1.3096871376037598,1.3096868991851807,0.3267194330692291,-0.10308463126420975
2,1.0,0.2593378722667694,0.08350651636719704,0.2623089849948883,0.19204486757516862,0.5,1.0,0.2,0.2409210503101349,0.05026315897703171,8,3662,0.0025070090778172016,0.05014017969369888,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32331418991088867,0.33031585812568665,0.34636998176574707,0.9996192455291748,3.3951982914004475e-05,0.2680225670337677,0.2678092420101166,0.26811131834983826,1.0,0.10000000149011612,0.10049153119325638,0.004752920474857092,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695316970348358,0.2695316672325134,0.2695316672325134,0.0,0.0,0.0,0.0,0.0,0.22927905836194212,1.000000037252903,0.002754626562818885,0.0029133756179362535,0.5665373206138611,0.9999812245368958,3.897239864159019e-09,1.5560961230676185e-07,0.0,3.901342360279614e-09,0.0,7.794479728318038e-09,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,3.901342360279614e-09,0.0,0.0,0.0,"[30019, 0, 3662]",0.0,0.0,0.0,True,40,0.5,4.975895535608288e-07,0.19371727108955383,1.3096870183944702,1.3096864223480225,0.5721458792686462,-0.08488906919956207
2,1.0,0.2593378722667694,0.08350651636719704,0.2623089849948883,0.19204486757516862,0.5,1.0,0.2,0.2409210503101349,0.05026315897703171,8,3662,0.0025070090778172016,0.05014017969369888,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32331418991088867,0.33031585812568665,0.34636998176574707,0.9996192455291748,3.3951982914004475e-05,0.2680225670337677,0.2678092420101166,0.26811131834983826,1.0,0.10000000149011612,0.10049153119325638,0.004752920474857092,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695316970348358,0.2695316672325134,0.2695316672325134,0.0,0.0,0.0,0.0,0.0,0.22927905836194212,1.000000037252903,0.002754626562818885,0.0029133756179362535,0.5665373206138611,0.9999812245368958,1.1731183136021173e-08,2.342022469292715e-07,0.0,1.1743532368768683e-08,0.0,1.1731183136021173e-08,0.050142694264650345,0.050142694264650345,0.050142694264650345,0.050142694264650345,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,1.0,1.1743532368768683e-08,0.0,0.0,0.0,"[30019, 0, 3662]",0.0,0.0,0.0,True,40,1.0,4.554840415949002e-06,0.14659686386585236,1.309687614440918,1.309683084487915,0.7349019050598145,-0.01831609569489956
