seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_gate_mean,benefit_gate_min,benefit_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,65.0,0.26174306869506836,0.23104707896709442,0.2604697346687317,0.2358940452337265,0.4812227785587311,0.996039628982544,0.2,0.23907895386219025,0.05026315897703171,8,3634,0.05983839929103851,0.05983839929103851,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3258754014968872,0.35448622703552246,0.31963837146759033,0.9990611672401428,0.0015588754322379827,0.27658575773239136,0.06623558700084686,0.9972867965698242,1.0,0.10000000149011612,0.10016510635614395,0.01641087606549263,0.08118891716003418,39.0,34.0,5.0,343.0,0.8717948794364929,0.0001402126654284075,0.08900523560209424,0.013089005235602094,1.0,0.45454545454545453,0.6637815833091736,154.0,77.0,77.0,228.0,0.00011435342457843944,0.20157068062827224,0.51971435546875,1.0,0.2,0.0,0.0,0.44165337085723877,0.2663324475288391,0.6089330315589905,0.0,0.0,0.0,0.0,0.0,0.20993452246556785,1.0000000149011612,0.05934762582182884,0.06063540279865265,0.37302467226982117,0.9643067121505737,8.527486897946801e-06,0.0001468950358685106,0.0,8.536462701158598e-06,0.0,3.4109947591787204e-05,0.14622382819652557,0.060013990849256516,0.23243367671966553,0.23243367671966553,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,8.536462701158598e-06,0.0,0.0,0.0,"[30019, 0, 3634]",0.0,0.0,2.3793429136276245e-05,False,80,0.25,2.540238347137347e-05,0.14921465516090393,0.7250149846076965,0.724989652633667,0.7765347957611084,0.07405365258455276
0,65.0,0.2614600956439972,0.2308838039636612,0.26004526019096375,0.23550442457199097,0.4811345636844635,0.9960400462150574,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.059940945357084274,0.059940945357084274,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33535170555114746,0.3362240493297577,0.32842427492141724,0.9999499917030334,0.0019117022166028619,0.21356815099716187,0.11090194433927536,0.9428586959838867,1.0,0.10000000149011612,0.10005497187376022,0.001040135626681149,0.17706559598445892,117.0,98.0,19.0,265.0,0.8376068472862244,0.0008486230508424342,0.25654450261780104,0.049738219895287955,0.9325842696629213,0.4642857142857143,0.17852970957756042,154.0,77.0,77.0,228.0,0.0010369939263910055,0.20157068062827224,0.752333402633667,1.0,0.2,0.0022129416465759277,0.0,0.0897826999425888,1.0904127520916518e-05,0.9999334812164307,0.0,0.0,0.0,0.0,0.0,0.24451560158059682,1.0000000521540642,0.07101335376501083,0.09228841215372086,0.46680963039398193,0.9756702780723572,4.823545896215364e-05,0.00041480804793536663,0.0,4.828623423236422e-05,0.0,9.647091792430729e-05,0.14636126160621643,0.060013990849256516,0.23270854353904724,0.23270854353904724,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,4.828623423236422e-05,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,4.7579407691955566e-05,False,80,0.5,0.00026354147121310234,0.17539267241954803,0.7250506281852722,0.7247870564460754,0.7536386847496033,-0.060485947877168655
0,65.0,0.2613186240196228,0.23080314099788665,0.2604697346687317,0.2358565002679825,0.48086151480674744,0.9960334300994873,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.06025119870901108,0.06025119870901108,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33401376008987427,0.34399113059043884,0.3219951093196869,0.9996684193611145,0.002174345776438713,0.21810385584831238,0.08783625811338425,0.9475876688957214,1.0,0.10000000149011612,0.10005497187376022,0.0001650459598749876,0.10273195058107376,62.0,56.0,6.0,320.0,0.9032257795333862,0.0028555449098348618,0.14659685863874344,0.015706806282722512,0.9534883720930233,0.21052631578947367,0.5052908658981323,154.0,77.0,77.0,228.0,0.0009244721150025725,0.20157068062827224,0.7151799201965332,1.0,0.2,0.0,0.0,0.3189524710178375,0.07504468411207199,0.9918394088745117,0.0,0.0,0.0,0.0,0.0,0.2697417396781767,1.0000000186264515,0.10442039370536804,0.14689409732818604,0.5950804948806763,0.961606502532959,0.00019928700930904597,0.000853291479870677,0.0,0.0001994967897189781,0.0,0.00019928700930904597,0.1467752307653427,0.060013990849256516,0.2335364818572998,0.2335364818572998,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.0001994967897189781,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,9.514763951301575e-05,False,80,1.0,0.0006898047868162394,0.10994764417409897,0.7250209450721741,0.7243312001228333,0.8039982914924622,0.2068450003862381
0,50.0,0.2676853537559509,0.22650241553783418,0.251839280128479,0.23442394137382508,0.4870319962501526,0.9998127222061157,0.2,0.23907895386219025,0.05026315897703171,8,3634,0.05768655240535736,0.05768655240535736,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3315415680408478,0.3447723686695099,0.3236861228942871,0.9996905326843262,0.002186246681958437,0.2746681272983551,0.17889605462551117,0.8778651356697083,1.0,0.10000000149011612,0.10016510635614395,0.005245694890618324,0.18244653940200806,113.0,95.0,18.0,269.0,0.8407079577445984,0.003243010025471449,0.2513089005235602,0.049738219895287955,0.953125,0.30612244897959184,0.39603033661842346,154.0,77.0,77.0,228.0,0.000968090898822993,0.20157068062827224,0.7456367015838623,1.0,0.2,0.001474618911743164,0.0,0.3504805862903595,0.23762251436710358,0.9999690055847168,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.9999999925494194,0.0758838877081871,0.10170326381921768,0.44533979892730713,0.9812486171722412,0.0003515880380291492,0.0007799538434483111,0.0,0.000351958122337237,0.0,0.0001757940190145746,0.1415136605501175,0.05757463723421097,0.22545267641544342,0.22545267641544342,2.0,2.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.000351958122337237,0.0,0.0,0.0,"[30019, 0, 3634]",0.0,0.0,0.00019024312496185303,False,80,2.0,0.12599001824855804,0.18324607610702515,0.768667995929718,0.6426779627799988,0.34677475690841675,-0.0381784588098526
0,50.0,0.2632993757724762,0.22435485124588012,0.24009621143341064,0.22060230672359465,0.48652541637420654,0.9926640391349792,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.05834375321865082,0.05834375321865082,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3421310782432556,0.3345969319343567,0.3232720196247101,0.9997532367706299,0.0025921864435076714,0.37194952368736267,0.15040218830108643,0.9875789284706116,1.0,0.10000000149011612,0.10049423575401306,0.012780558317899704,0.10171576589345932,104.0,95.0,9.0,278.0,0.9134615659713745,0.21828316152095795,0.25654450261780104,0.031413612565445025,0.9387755102040817,0.5,0.28493860363960266,154.0,77.0,77.0,228.0,0.027956083416938782,0.20157068062827224,0.7342253923416138,1.0,0.2,0.06751728057861328,0.0,0.36226627230644226,0.13811425864696503,0.9999892711639404,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.9999999925494194,0.053092919290065765,0.07469529658555984,0.3393400013446808,0.9425822496414185,0.03277810290455818,0.028775926679372787,0.0,0.032812606543302536,0.0,0.006555621046572924,0.14231854677200317,0.05757463723421097,0.2270624339580536,0.2270624339580536,5.0,5.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.032812606543302536,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,0.0004619751125574112,False,80,5.0,0.18260979652404785,0.19371727108955383,0.8317883014678955,0.6491785645484924,0.4820849299430847,-0.02884569764137268
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408304288983345,0.49187156558036804,0.9999912977218628,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.055108364671468735,0.055108364671468735,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3295859098434448,0.3428989052772522,0.327515184879303,0.999810516834259,0.0016922608483582735,0.3288937211036682,0.26622313261032104,0.8536896705627441,1.0,0.10000000149011612,0.10021905601024628,0.016188301146030426,0.24120937287807465,64.0,51.0,13.0,318.0,0.796875,4.625879228115082e-06,0.13350785340314136,0.034031413612565446,1.0,0.3333333333333333,0.6844773292541504,154.0,77.0,77.0,228.0,6.195762580318842e-06,0.20157068062827224,0.372099906206131,1.0,0.2,0.0,0.0,0.5528512597084045,0.48938414454460144,0.7779670357704163,0.0,0.0,0.0,0.0,0.0,0.21709713232367667,0.999999962747097,0.027644092217087746,0.03264829143881798,0.41255640983581543,0.9875611662864685,2.413165020698216e-06,4.448831168701872e-05,0.0,2.4157052394002676e-06,0.0,9.652660082792863e-06,0.13620515167713165,0.05521122366189957,0.21719908714294434,0.21719908714294434,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,2.4157052394002676e-06,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,1.7877668142318726e-05,True,75,0.25,2.0632998712244444e-05,0.1256544440984726,0.8272601962089539,0.8272395133972168,0.7602837085723877,0.08523997664451599
1,35.0,0.2662705183029175,0.19463173039257525,0.2729201912879944,0.24046266525983812,0.4918754994869232,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.055109817534685135,0.055109817534685135,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3289691209793091,0.3349568545818329,0.33607402443885803,0.9999600648880005,0.0018931112717837095,0.29617318511009216,0.25856679677963257,0.6839542984962463,1.0,0.10000000149011612,0.10021905601024628,0.009794166311621666,0.38184237480163574,152.0,105.0,47.0,230.0,0.6907894611358643,4.789899685420096e-05,0.27486910994764396,0.12303664921465969,0.9523809523809523,0.4943820224719101,0.6524393558502197,154.0,77.0,77.0,228.0,7.619064854225144e-05,0.20157068062827224,0.2944815158843994,1.0,0.2,0.0001004934310913086,0.0,0.48870599269866943,0.38969528675079346,0.8187602162361145,0.0,0.0,0.0,0.0,0.0,0.24686511191843433,0.9999999850988388,0.048115771263837814,0.05540287122130394,0.4898619055747986,0.9933409690856934,1.1360682947270107e-05,0.00010471868154127151,0.0,1.1372641893103719e-05,0.0,2.2721365894540213e-05,0.13620713353157043,0.05521122366189957,0.2172030508518219,0.2172030508518219,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,1.1372641893103719e-05,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,3.574788570404053e-05,True,75,0.5,0.00015599072503391653,0.13612565398216248,0.827311635017395,0.8271556496620178,0.6858379244804382,-0.009085949510335922
1,75.0,0.2688172161579132,0.238868810236454,0.2606112062931061,0.23534673750400542,0.47527098655700684,0.9665829539299011,0.2,0.23894736170768738,0.05026315897703171,8,3632,0.06335277110338211,0.06335277110338211,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.31472769379615784,0.37120556831359863,0.3140667676925659,0.9969269037246704,0.0025114084128290415,0.2667909860610962,0.09532841295003891,0.9888562560081482,1.0,0.10000000149011612,0.10022026300430298,0.0011435537599027157,0.30451956391334534,99.0,70.0,29.0,283.0,0.7070707082748413,0.15650855004787445,0.18324607329842932,0.07591623036649214,0.8823529411764706,0.6774193548387096,0.45838943123817444,154.0,77.0,77.0,228.0,0.06274734437465668,0.20157068062827224,0.5803744196891785,1.0,0.2,0.0,0.0,0.19623686373233795,0.013314512558281422,0.9999597072601318,0.0,0.0,0.0,0.0,0.0,0.2889926584427908,1.0000000521540642,0.10068315267562866,0.19391882419586182,0.45731857419013977,0.9816633462905884,0.014044702984392643,0.05748859420418739,0.0,0.014059485867619514,0.0,0.014044702984392643,0.15171699225902557,0.06168249994516373,0.24175149202346802,0.24175149202346802,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.014059485867619514,0.0,0.0,0.0,"[30019, 0, 3632]",0.0,0.0,7.15106725692749e-05,False,80,1.0,0.08331673592329025,0.21989528834819794,0.7713885307312012,0.6880717873573303,0.21651571989059448,-0.07640697062015533
1,65.0,0.2567911744117737,0.2287687063217163,0.2566497027873993,0.231760373711586,0.48013871908187866,0.98573237657547,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.06175479292869568,0.06175479292869568,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3273533880710602,0.34645748138427734,0.32618919014930725,0.9996439814567566,0.002906155539676547,0.2766779065132141,0.03708133473992348,0.9947294592857361,1.0,0.10000000149011612,0.10005497187376022,0.0037396650295704603,0.11517812311649323,75.0,65.0,10.0,307.0,0.8666666746139526,0.5956264138221741,0.17015706806282724,0.02617801047120419,0.9538461538461539,0.7,0.3359011709690094,154.0,77.0,77.0,228.0,0.11716625094413757,0.20157068062827224,0.7992992401123047,1.0,0.2,0.0,0.0,0.3506247401237488,0.058364447206258774,0.9999855756759644,0.0,0.0,0.0,0.0,0.0,0.2315974374870841,0.9999999850988388,0.068580761551857,0.11930620670318604,0.3276946544647217,0.9617857933044434,0.08504334837198257,0.17817476391792297,0.0,0.08513286709785461,0.0,0.04252167418599129,0.14876310527324677,0.060013990849256516,0.2375122308731079,0.2375122308731079,2.0,2.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.08513286709785461,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,0.00014300644397735596,False,80,2.0,0.10052308440208435,0.16492146253585815,0.8122149705886841,0.7116919159889221,0.5885694622993469,-0.06510239839553833
1,70.0,0.24179400503635406,0.20813332200050355,0.24165251851081848,0.2081393450498581,0.48186004161834717,0.9811130166053772,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.06047484278678894,0.06047484278678894,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.31090930104255676,0.3647874593734741,0.32430320978164673,0.9977693557739258,0.002802864881232381,0.3586976230144501,0.025493256747722626,0.9977318644523621,1.0,0.10000000149011612,0.10049423575401306,0.027339007705450058,0.16794821619987488,92.0,83.0,9.0,290.0,0.9021739363670349,0.9729478359222412,0.21727748691099477,0.02356020942408377,0.9195402298850575,0.4,0.20092080533504486,154.0,77.0,77.0,228.0,0.17515653371810913,0.20157068062827224,0.8808361291885376,1.0,0.2,0.03933358192443848,0.0,0.2407606840133667,0.001751831965520978,0.9999996423721313,0.0,0.0,0.0,0.0,0.0,0.3066483422092424,0.9999999925494194,0.07525879144668579,0.1965082883834839,0.5139157772064209,0.9605581760406494,0.14254428446292877,0.12158026546239853,0.0,0.14269433915615082,0.0,0.028508856892585754,0.14801901578903198,0.060844000428915024,0.23519405722618103,0.23519405722618103,5.0,5.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.14269433915615082,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,0.000356871634721756,False,80,5.0,0.18361756205558777,0.1884816735982895,0.9135235548019409,0.7299060821533203,0.5224297046661377,0.038758598268032074
