seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,65.0,0.26160159707069397,0.23092484772205352,0.2601867616176605,0.23559301793575288,0.48108622431755066,0.9960393905639648,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.059813492000103,0.059813492000103,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33020517230033875,0.35304009914398193,0.31675466895103455,0.9990847110748291,0.0020448905415832996,0.2236955314874649,0.06777191162109375,0.9915636777877808,0.0,1.0,0.2236955314874649,0.0026846942491829395,0.2875314950942993,90.0,65.0,25.0,292.0,0.7222222089767456,4.8632919060764834e-05,0.17015706806282724,0.06544502617801047,0.9512195121951219,0.46938775510204084,0.21279920637607574,73.0,61.0,12.0,309.0,9.166690870188177e-05,0.15968586387434555,0.5387975573539734,1.0,0.2,0.0,0.0,0.0001,0.326593279838562,0.275132417678833,0.8164202570915222,1.0,0.15000000596046448,0.15008246898651123,0.0838642567396164,0.018833082169294357,0.8089545965194702,0.0,0.0,0.0,0.0,0.0,0.283869152663751,1.0000000074505806,0.04750712215900421,0.06515710055828094,0.33521661162376404,0.9788734316825867,5.8736932260217145e-06,0.00010121684317709878,0.0,5.879875971004367e-06,0.0,2.3494772904086858e-05,0.14619006216526031,0.060013990849256516,0.232366144657135,0.232366144657135,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,5.879875971004367e-06,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,2.3793429136276245e-05,False,80,0.25,5.055367000750266e-05,0.14659686386585236,0.7249864339828491,0.7249358892440796,0.7862450480461121,0.14184533059597015
0,65.0,0.2614600956439972,0.23083598613739015,0.2603282332420349,0.2356924295425415,0.48100119829177856,0.9960381388664246,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.05988989397883415,0.05988989397883415,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33181488513946533,0.3375551700592041,0.3306298851966858,0.9999616742134094,0.0036499768029898405,0.2323625683784485,0.058525703847408295,0.9921258687973022,0.0,1.0,0.2323625683784485,0.00501239812001586,0.28555068373680115,59.0,46.0,13.0,323.0,0.7796609997749329,0.000781583075877279,0.12041884816753927,0.034031413612565446,0.8695652173913043,0.5384615384615384,0.2096526324748993,57.0,46.0,11.0,325.0,0.0004810845712199807,0.12041884816753927,0.702495813369751,1.0,0.2,0.0,0.0,0.0001,0.3189747929573059,0.053357090801000595,0.9987325072288513,1.0,0.15000000596046448,0.15008246898651123,0.11953113228082657,0.003967429045587778,0.989181637763977,0.0,0.0,0.0,0.0,0.0,0.23128424913111154,1.0,0.05534287542104721,0.06407346576452255,0.3333298861980438,0.9671739935874939,6.847569602541625e-05,0.000589452451094985,0.0,6.854777166154236e-05,0.0,0.0001369513920508325,0.14629384875297546,0.060013990849256516,0.2325737178325653,0.2325737178325653,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,6.854777166154236e-05,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,4.7579407691955566e-05,False,80,0.5,0.00021068229398224503,0.14659686386585236,0.7249988913536072,0.724788248538971,0.7993564009666443,0.12085702270269394
0,65.0,0.26160159707069397,0.23098771870136262,0.26089417934417725,0.23616351783275605,0.4807630181312561,0.9960299134254456,0.2,0.23973684012889862,0.05026315897703171,8,3644,0.060211025178432465,0.060211025178432465,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33605387806892395,0.3373633921146393,0.3265827000141144,0.9999047517776489,0.0036574529949575663,0.29594194889068604,0.04777826368808746,0.9937741756439209,0.0,1.0,0.29594194889068604,0.005208393558859825,0.16495242714881897,74.0,60.0,14.0,308.0,0.8108108043670654,0.0034918051678687334,0.15706806282722513,0.03664921465968586,0.9122807017543859,0.5294117647058824,0.1700364649295807,74.0,60.0,14.0,308.0,0.0013488966505974531,0.15706806282722513,0.7169703245162964,1.0,0.2,0.0,0.0,0.0001,0.33773383498191833,0.0403444804251194,0.994286835193634,1.0,0.15000000596046448,0.15038418769836426,0.15575048327445984,0.0020058895461261272,0.987945020198822,0.0,0.0,0.0,0.0,0.0,0.21053892215568862,0.999999962747097,0.0516110397875309,0.07036137580871582,0.4565221071243286,0.9677852392196655,0.0003067858633585274,0.0013152447063475847,0.0,0.0003071087703574449,0.0,0.0003067858633585274,0.1467343419790268,0.060013990849256516,0.23345470428466797,0.23345470428466797,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.0003071087703574449,0.0,0.0,0.0,"[30019, 0, 3644]",0.0,0.0,9.514763951301575e-05,False,80,1.0,0.005576565396040678,0.1518324613571167,0.7251359820365906,0.7195594310760498,0.7213312983512878,0.13276930153369904
0,70.0,0.255517840385437,0.23599315881729127,0.25028297305107117,0.23390659391880037,0.4786261022090912,0.9837567806243896,0.2,0.2388157844543457,0.05026315897703171,8,3630,0.06227053329348564,0.06227053329348564,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3290747404098511,0.3412264287471771,0.3296988010406494,0.9998721480369568,0.0033151416573673487,0.15629029273986816,0.036023836582899094,0.9995591044425964,0.0,1.0,0.15629029273986816,0.00014175669639371336,0.22935006022453308,97.0,75.0,22.0,285.0,0.7731958627700806,0.46183809638023376,0.19633507853403143,0.05759162303664921,0.8970588235294118,0.5172413793103449,0.22258321940898895,97.0,75.0,22.0,285.0,0.11718432605266571,0.19633507853403143,0.44058331847190857,1.0,0.2,0.0,0.0,0.0001,0.22439232468605042,0.0005893626948818564,0.9898192286491394,1.0,0.15000000596046448,0.15041323006153107,0.0709354430437088,2.353338095417712e-05,0.988414466381073,0.0,0.0,0.0,0.0,0.0,0.2410297300375897,1.0,0.06396986544132233,0.09702769666910172,0.33535492420196533,0.9680871367454529,0.05716405436396599,0.1189160943031311,0.0,0.057224225252866745,0.0,0.028582027181982994,0.15014682710170746,0.060844000428915024,0.2394496500492096,0.2394496500492096,2.0,2.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.057224225252866745,0.0,0.0,0.0,"[30019, 0, 3630]",0.0,0.0,0.00019024312496185303,False,80,2.0,0.08712421357631683,0.18586386740207672,0.7845423817634583,0.697418212890625,0.5590707659721375,0.03729007765650749
0,75.0,0.24646292626857758,0.22905239164829255,0.24320882558822632,0.22442143112421037,0.4830719530582428,0.9766740798950195,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.0595080591738224,0.0595080591738224,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3133578300476074,0.3743278384208679,0.31231439113616943,0.9962958097457886,0.004405341111123562,0.5262159705162048,0.024859894067049026,0.9999858140945435,0.0,1.0,0.5262159705162048,0.06078438088297844,0.1214272677898407,67.0,57.0,10.0,315.0,0.8507462739944458,0.6717630624771118,0.14921465968586387,0.02617801047120419,0.9464285714285714,0.6363636363636364,0.14547015726566315,66.0,57.0,9.0,316.0,0.07026168704032898,0.14921465968586387,0.7507502436637878,1.0,0.2,0.0,0.0,0.0001,0.606986403465271,0.135879784822464,0.9999991655349731,1.0,0.15000000596046448,0.15046676993370056,0.41768625378608704,0.00399294076487422,0.9999837875366211,0.0,0.0,0.0,0.0,0.0,0.2812226053415931,0.9999999850988388,0.12198156118392944,0.19369110465049744,0.5319889783859253,0.930128812789917,0.09348735958337784,0.08078024536371231,0.0,0.09358576685190201,0.0,0.018697470426559448,0.14675915241241455,0.06168249994516373,0.23183582723140717,0.23183582723140717,5.0,5.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.09358576685190201,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,0.00046454742550849915,False,80,5.0,0.19230183959007263,0.1963350772857666,0.8490924835205078,0.6567906737327576,0.633804976940155,0.04305374622344971
1,35.0,0.2662705183029175,0.1946344841271639,0.27320316433906555,0.2408339038491249,0.49186891317367554,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.0551086962223053,0.0551086962223053,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3286133408546448,0.34279772639274597,0.32858893275260925,0.9998173713684082,0.002674291841685772,0.30863505601882935,0.2706119418144226,0.7679201364517212,0.0,1.0,0.30863505601882935,0.009987477213144302,0.37241020798683167,172.0,122.0,50.0,210.0,0.7093023061752319,1.5186015843937639e-05,0.3193717277486911,0.13089005235602094,0.9743589743589743,0.3684210526315789,0.6497611999511719,154.0,77.0,77.0,228.0,5.464762944029644e-05,0.20157068062827224,0.4141104221343994,1.0,0.2,0.00020229816436767578,0.0,0.0001,0.5132670998573303,0.4603760540485382,0.8477749824523926,1.0,0.15000000596046448,0.15005476772785187,0.16307057440280914,0.12866201996803284,0.6424086093902588,0.0,0.0,0.0,0.0,0.0,0.2631506434102119,1.0000000223517418,0.03916822001338005,0.053254976868629456,0.33179089426994324,0.9833986163139343,5.576661351369694e-06,0.00010280906280968338,0.0,5.582531230174936e-06,0.0,2.2306645405478776e-05,0.13620558381080627,0.05521122366189957,0.2171999216079712,0.2171999216079712,0.25,0.25,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,5.582531230174936e-06,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,1.9650906324386597e-05,True,75,0.25,3.2022791856434196e-05,0.15445026755332947,0.8272622227668762,0.8272301554679871,0.7706874012947083,0.06763233989477158
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408313050866127,0.4918436110019684,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05510901287198067,0.05510901287198067,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33182650804519653,0.33716315031051636,0.3310103118419647,0.9999696016311646,0.0022554397583007812,0.29195281863212585,0.24048331379890442,0.7172389030456543,0.0,1.0,0.29195281863212585,0.00832700077444315,0.475699245929718,195.0,123.0,72.0,187.0,0.6307692527770996,1.9675035218824632e-05,0.3219895287958115,0.18848167539267016,0.8484848484848485,0.4806201550387597,0.693461537361145,154.0,77.0,77.0,228.0,4.0152310248231515e-05,0.20157068062827224,0.08007228374481201,1.0,0.2,5.2928924560546875e-05,0.0,0.0001,0.5257744193077087,0.44315341114997864,0.600028395652771,1.0,0.15000000596046448,0.15005476772785187,0.15429523587226868,0.12412674725055695,0.4111008942127228,0.0,0.0,0.0,0.0,0.0,0.26527951867636,0.9999999664723873,0.01404139120131731,0.01685010828077793,0.3401932120323181,0.9695544838905334,1.108498327084817e-05,0.00010217867384199053,0.0,1.1096652087871917e-05,0.0,2.216996654169634e-05,0.13620597124099731,0.05521122366189957,0.21720072627067566,0.21720072627067566,0.5,0.5,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,1.1096652087871917e-05,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,3.9268285036087036e-05,True,75,0.5,0.0001418320753145963,0.15445026755332947,0.8272861838340759,0.8271443843841553,0.6642366647720337,0.09619813412427902
1,35.0,0.2661290466785431,0.1945187021046877,0.27320316433906555,0.24090103358030318,0.4917849600315094,0.9999911189079285,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.055109888315200806,0.055109888315200806,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3325294256210327,0.3384498059749603,0.32902079820632935,0.9999380707740784,0.00222605187445879,0.28866106271743774,0.2519899308681488,0.6758591532707214,0.0,1.0,0.28866106271743774,0.008168392814695835,0.5384678840637207,211.0,124.0,87.0,171.0,0.5876777172088623,3.930431921617128e-05,0.32460732984293195,0.22774869109947643,0.7380952380952381,0.44970414201183434,0.6909565925598145,154.0,77.0,77.0,228.0,4.341699241194874e-05,0.20157068062827224,0.1331736147403717,1.0,0.2,0.0002231597900390625,-0.0001729726791381836,0.0001,0.5272430777549744,0.5007139444351196,0.5714266300201416,1.0,0.15000000596046448,0.15005476772785187,0.15264324843883514,0.1274481564760208,0.3828071653842926,0.0,0.0,0.0,0.0,0.0,0.21195242482619986,0.9999999701976776,0.016708867624402046,0.019190257415175438,0.330244243144989,0.9838298559188843,2.622680040076375e-05,0.0001208744288305752,0.0,2.6254405383951962e-05,0.0,2.622680040076375e-05,0.1362071931362152,0.05521122366189957,0.21720315515995026,0.21720315515995026,1.0,1.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,2.6254405383951962e-05,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,7.853657007217407e-05,True,75,1.0,0.0019334692042320967,0.16230367124080658,0.8274231553077698,0.8254896998405457,0.5765631794929504,-0.026197005063295364
1,65.0,0.2698075771331787,0.2358768180012703,0.2556593120098114,0.22758931815624237,0.4798750877380371,0.9868593811988831,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.061397530138492584,0.061397530138492584,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3055484890937805,0.3793416917324066,0.31510981917381287,0.9955705404281616,0.004259971901774406,0.2895299792289734,0.08451448380947113,0.9937963485717773,0.0,1.0,0.2895299792289734,0.04271989315748215,0.3140028715133667,91.0,69.0,22.0,291.0,0.7582417726516724,0.25196921825408936,0.1806282722513089,0.05759162303664921,0.8441558441558441,0.7142857142857143,0.40017789602279663,91.0,69.0,22.0,291.0,0.06006545573472977,0.1806282722513089,0.40511777997016907,1.0,0.2,0.0,0.0,0.0001,0.36767956614494324,0.01492066215723753,0.9991004467010498,1.0,0.15000000596046448,0.15008246898651123,0.16941869258880615,0.0015389625914394855,0.9928886294364929,0.0,0.0,0.0,0.0,0.0,0.2600762410588084,0.9999999850988388,0.07808821648359299,0.13170313835144043,0.5012413263320923,0.9613804221153259,0.04662623256444931,0.09816855192184448,0.0,0.04667530953884125,0.0,0.023313116282224655,0.14826716482639313,0.060013990849256516,0.23652034997940063,0.23652034997940063,2.0,2.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.04667530953884125,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,0.0001569986343383789,False,80,2.0,0.09911634773015976,0.18324607610702515,0.8202047944068909,0.7210884094238281,0.6653121709823608,-0.034154012799263
1,65.0,0.24688738584518433,0.21024636030197144,0.23896434903144836,0.20582775473594667,0.48386043310165405,0.9822796583175659,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.05934196338057518,0.05934196338057518,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3332250714302063,0.3365837037563324,0.3301912248134613,0.9999338388442993,0.0035847763065248728,0.36127328872680664,0.03057125024497509,0.9957013726234436,0.0,1.0,0.36127328872680664,0.005988349672406912,0.18325291574001312,78.0,65.0,13.0,304.0,0.8333333134651184,0.6171972751617432,0.17015706806282724,0.034031413612565446,0.921875,0.5714285714285714,0.1511859893798828,76.0,64.0,12.0,306.0,0.07278671115636826,0.16753926701570682,0.6704527735710144,1.0,0.2,0.0,0.0,0.0001,0.49610206484794617,0.06559915095567703,0.9705207943916321,1.0,0.15000000596046448,0.15046676993370056,0.2328638732433319,0.0025667257141321898,0.9640071988105774,0.0,0.0,0.0,0.0,0.0,0.21156237049316204,1.0,0.05773422494530678,0.09769762307405472,0.31886276602745056,0.9143636226654053,0.07222893089056015,0.0626041516661644,0.0,0.07230495661497116,0.0,0.014445783570408821,0.1457197070121765,0.060013990849256516,0.2314254194498062,0.2314254194498062,5.0,5.0,weighted_sum,v2_conditioned,residual_gate,1.0,0.0,0.07230495661497116,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,0.0003785528242588043,False,80,5.0,0.33000901341438293,0.26178011298179626,0.9414538741111755,0.6114448308944702,0.6281095743179321,-0.07376576960086823
