seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_message_help_query_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,query_class_balanced_mean_delta_ce,query_class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_query_supervised_count,message_help_class_count,message_help_query_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_receive_gate_query_loss,utility_gate_supervised_count,utility_gate_query_supervised_count,utility_gate_positive_count,utility_gate_query_positive_count,utility_gate_negative_count,utility_gate_query_negative_count,utility_gate_ignored_count,utility_gate_query_ignored_count,utility_gate_target_mean,utility_gate_query_target_mean,utility_gate_delta_corr_train,utility_gate_query_delta_corr,query_proto_alignment_loss,query_proto_supervised_count,query_proto_class_count,query_proto_mean_delta_dist,query_proto_positive_ratio,support_query_enabled,support_only_prompt_graph,support_count,query_count,train_support_ratio,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,prototype_direction_strength_mean,prototype_direction_normalize,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,75.0,0.23716075718402863,0.23669817447662353,0.23924843966960907,0.23904293179512023,0.4743894636631012,0.9567962884902954,0.2,0.2422610968351364,0.050182655453681946,20,7560,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.43948039412498474,0.4984293580055237,0.062090203166007996,0.7891375422477722,0.019602755084633827,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027805575518868864,0.0,0.0,0.0,0.04550222307443619,1.0,0.0,18.0,0.0,5.0,0.005,1.0,0.0,0.0,0.040249958634376526,0.0,5.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,-0.6059589982032776,0.005050322972238064,18.0,5.0,0.012805089354515076,0.30000001192092896,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9575889110565186,0.8869591355323792,0.9857648611068726,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9575889110565186,0.8869591355323792,0.9857648611068726,0.7515755295753479,0.06444398313760757,0.8544061183929443,0.38461539149284363,0.1849948614835739,0.6995259341885108,0.6117339432239532,0.10228125751018524,0.2753770351409912,0.6949845552444458,0.9821411967277527,0.09532681852579117,5.0,0.01575351506471634,0.3739391565322876,0.0,0.015814093872904778,0.015814093872904778,0.0,0.06973639130592346,0.017434097826480865,0.08207239955663681,0.08207239955663681,0.1545099914073944,0.12176648527383804,0.18725350499153137,0.18725350499153137,0.25,0.25,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.015814093872904778,0.0,0.0,0.0,"[217073, 3780, 3780]",0.0,0.0,0.0027259737253189087,False,80,0.25,0.03445809707045555,0.9425287246704102,0.4586412310600281,0.4241831600666046,0.03445809707045555,0.9425287246704102,-0.012307536788284779,0.375,-0.02878938615322113,0.31757450103759766,0.0,0.3727758228778839
0,75.0,0.2359081357717514,0.2355263501405716,0.23778705298900604,0.23762427270412445,0.47451892495155334,0.9569555521011353,0.2,0.24168428778648376,0.050182655453681946,20,7542,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.5537010431289673,0.3776995837688446,0.06859936565160751,0.7883152961730957,0.019647330045700073,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015494464605581015,0.0,0.0,0.0,0.05040191486477852,1.0,0.0,18.0,0.0,5.0,0.005,1.0,0.0,0.0,0.045682840049266815,0.0,5.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,-0.8343994617462158,0.006050613708794117,18.0,5.0,0.01986774057149887,0.10000000149011612,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9597663283348083,0.8916283845901489,0.9865254163742065,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9597663283348083,0.8916283249855042,0.9865254163742065,0.7449575066566467,0.06711159646511078,0.8237547874450684,0.3636363744735718,0.20431211590766907,0.6660477074703613,0.6442975141108036,0.10784409940242767,0.27143222093582153,0.7199890613555908,0.9880900979042053,0.08812025934457779,4.0,0.01792288012802601,0.2354520559310913,0.0,0.017991799861192703,0.017991799861192703,0.0,0.04342282563447952,0.02171141281723976,0.1424056589603424,0.1424056589603424,0.15344350039958954,0.12176648527383804,0.18512052297592163,0.18512052297592163,0.5,0.5,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.017991799861192703,0.0,0.0,0.0,"[217073, 3771, 3771]",0.0,0.0,0.00540827214717865,False,80,0.5,0.036929234862327576,0.946360170841217,0.4605483114719391,0.4236190617084503,0.036929234862327576,0.946360170841217,-0.026493191719055176,0.4166666567325592,-0.03368806466460228,0.28057554364204407,0.0,0.32660433650016785
1,25.0,0.2306889295578003,0.2247447967529297,0.2453027069568634,0.24407485723495484,0.4947679340839386,0.9998202919960022,0.2,0.24187655746936798,0.050182655453681946,20,7548,0.05360808223485947,0.05360808223485947,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.3232031762599945,0.331051766872406,0.3457450866699219,0.9996434450149536,0.01300402358174324,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004223700612783432,0.0,0.0,0.0,0.0007762992172501981,0.699999988079071,0.0,19.0,0.0,5.0,0.005,1.0,0.0,0.0,0.7120870351791382,0.0,5.0,0.0,3.0,0.0,2.0,0.0,14.0,0.0,0.6000000238418579,0.0,0.5969356894493103,0.003946512006223202,19.0,5.0,0.0010534876491874456,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.727727472782135,0.7186525464057922,0.7392808794975281,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7277273535728455,0.7186525464057922,0.7392808794975281,1.591025948524475,0.3620762526988983,0.26053640246391296,0.3636363744735718,0.27904564142227173,0.20150086198154346,0.6926950477063656,0.011149032972753048,0.012271587736904621,0.44025784730911255,0.9957342147827148,0.07140987366437912,7.0,0.002513003535568714,0.06309283524751663,0.0,0.002522667171433568,0.002522667171433568,0.0,0.010052014142274857,0.002513003535568714,0.0,0.0,0.13342808187007904,0.10693750530481339,0.1599186658859253,0.1599186658859253,0.25,0.25,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.002522667171433568,0.0,0.0,0.0,"[217073, 3774, 3774]",0.0,0.0,0.001574832946062088,True,65,0.25,0.030230438336730003,0.9080459475517273,0.7256590127944946,0.6954286098480225,0.030230438336730003,0.9080459475517273,-0.006013895384967327,0.39393940567970276,-0.007129831705242395,0.43821391463279724,0.0,0.46142590045928955
1,25.0,0.23486429452896118,0.23034244477748872,0.24759916961193085,0.2459644228219986,0.4947725236415863,0.9989981651306152,0.2,0.2420688271522522,0.050182655453681946,20,7554,0.05360808223485947,0.05360808223485947,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.32345059514045715,0.33116579055786133,0.3453836143016815,0.9996629953384399,0.013142287731170654,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030654214788228273,0.0,0.0,0.0,0.0024710427969694138,0.800000011920929,0.0,19.0,0.0,5.0,0.005,1.0,0.0,0.0,0.5976024866104126,0.0,7.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.7142857313156128,0.0,0.6255021095275879,0.002200337126851082,19.0,5.0,0.002948086243122816,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.7354649305343628,0.7305355668067932,0.7412238717079163,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.735464870929718,0.7305355668067932,0.7412238717079163,1.5953748226165771,0.3600151240825653,0.27586206793785095,0.34285715222358704,0.2616822421550751,0.21101241249485264,0.6911089047789574,0.010223804041743279,0.011287348344922066,0.4621526002883911,0.9959347248077393,0.06807965785264969,7.0,0.006572754587978125,0.08242855966091156,0.0,0.006598029285669327,0.006598029285669327,0.0,0.01314550917595625,0.006572754587978125,0.0,0.0,0.13349966704845428,0.10693750530481339,0.16006183624267578,0.16006183624267578,0.5,0.5,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.006598029285669327,0.0,0.0,0.0,"[217073, 3777, 3777]",0.0,0.0,0.003087274730205536,True,65,0.5,0.03839459270238876,0.9501915574073792,0.7314756512641907,0.6930810213088989,0.03839459270238876,0.9501915574073792,-0.012290879152715206,0.3333333432674408,-0.009872372262179852,0.3894081115722656,0.0,0.48820701241493225
2,10.0,0.22860124707221985,0.16080172890797256,0.22943632304668427,0.22595046162605287,0.5002474784851074,0.9998711943626404,0.2,0.24053066968917847,0.050182655453681946,20,7506,0.05141779035329819,0.05141779035329819,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.33300596475601196,0.33259591460227966,0.3343981206417084,0.999997615814209,0.012976361438632011,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00487771350890398,0.0,0.0,0.0,0.0001222866849275306,0.7083333730697632,0.0,33.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004775798413902521,33.0,5.0,0.00022420156165026128,0.5733333826065063,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.7571131587028503,0.7571079730987549,0.7571172714233398,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7571131587028503,0.7571079730987549,0.7571172714233398,1.607981562614441,0.011418295092880726,0.3295019268989563,0.23529411852359772,0.29393306374549866,0.22824326314239435,0.5932424813508987,0.003342158393934369,0.0036669676192104816,0.4693690836429596,0.9799532294273376,0.08174030482769012,5.0,0.001837283605709672,0.047947198152542114,0.0,0.001844348618760705,0.001844348618760705,0.0,0.007349134422838688,0.001837283605709672,0.0,0.0,0.12829813361167908,0.10273134708404541,0.15386492013931274,0.15386492013931274,0.25,0.25,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.001844348618760705,0.0,0.0,0.0,"[217073, 3753, 3753]",0.0,0.0,0.0009379684925079346,True,50,0.25,0.0042123193852603436,0.8467432856559753,0.9538351893424988,0.9496228694915771,0.0042123193852603436,0.8467432856559753,0.00247151218354702,0.53125,0.0016841511242091656,0.552549421787262,0.0,0.3419269919395447
2,10.0,0.22943632304668427,0.16149530643597246,0.2265135645866394,0.222729629278183,0.5004071593284607,0.9993773698806763,0.2,0.24053066968917847,0.050182655453681946,20,7506,0.05141779035329819,0.05141779035329819,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.33287397027015686,0.3324805498123169,0.33464547991752625,0.9999963045120239,0.012976594269275665,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004759702831506729,0.0,0.0,0.0,0.00024029731866903603,0.7516666650772095,0.0,33.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045623620972037315,33.0,5.0,0.0004376374708954245,0.6316667199134827,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.7571266889572144,0.7571194171905518,0.7571311593055725,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7571266889572144,0.7571194171905518,0.7571311593055725,1.607499361038208,0.011455321684479713,0.3218390941619873,0.20000000298023224,0.3068062961101532,0.2251301726500411,0.5933980867266655,0.003367843572050333,0.003695723135024309,0.47655338048934937,0.9799915552139282,0.08175072818994522,5.0,0.0040906332433223724,0.05337651073932648,0.0,0.004106363281607628,0.004106363281607628,0.0,0.008181266486644745,0.0040906332433223724,0.0,0.0,0.12829771637916565,0.10273134708404541,0.1538640856742859,0.1538640856742859,0.5,0.5,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.004106363281607628,0.0,0.0,0.0,"[217073, 3753, 3753]",0.0,0.0,0.0017858296632766724,True,50,0.5,0.02217496559023857,0.9118773937225342,0.960774838924408,0.9385999441146851,0.02217496559023857,0.9118773937225342,-0.007431253790855408,0.5,-0.00486734276637435,0.4805876314640045,0.0,0.5267106294631958
3,5.0,0.22359082102775574,0.13452811315655708,0.2306889295578003,0.22882453501224517,0.4989505410194397,0.999600350856781,0.2,0.23918476700782776,0.050182655453681946,20,7464,0.025352245196700096,0.05070449039340019,0.5,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.3240587115287781,0.3586329519748688,0.31730836629867554,0.998672366142273,0.006421091500669718,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.7598251104354858,0.7598221302032471,0.7598344087600708,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7598251104354858,0.7598221302032471,0.7598344087600708,1.60924232006073,0.0036093234084546566,0.19923371076583862,0.18518517911434174,0.21338912844657898,0.19693486590038314,0.6158096492290497,0.0021223467774689198,0.0022728433832526207,0.3780146837234497,0.9834906458854675,0.07710064202547073,6.0,0.00223402283154428,0.05904635041952133,0.0,0.002242613583803177,0.002242613583803177,0.0,0.00893609132617712,0.00223402283154428,0.0,0.0,0.12664009630680084,0.10135795176029205,0.15192225575447083,0.15192225575447083,0.25,0.25,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.002242613583803177,0.0,0.0,0.0,"[217073, 3732, 3732]",0.0,0.0,0.0023546405136585236,True,45,0.25,0.003626912832260132,0.8275862336158752,1.0756322145462036,1.0720053911209106,0.003626912832260132,0.8275862336158752,0.0017627142369747162,0.71875,0.0015124629717320204,0.6879581212997437,0.0,0.24804404377937317
3,20.0,0.2306889295578003,0.21528294086456298,0.22776618599891663,0.22633812725543975,0.4959133267402649,0.9991118907928467,0.2,0.23937703669071198,0.050182655453681946,20,7470,0.05286979675292969,0.05286979675292969,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.33163365721702576,0.34002822637557983,0.3283381462097168,0.9999010562896729,0.013295305892825127,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033830194734036922,0.0,0.0,0.0,0.001616980298422277,0.8999999761581421,0.0,26.0,0.0,5.0,0.005,1.0,0.0,0.0,0.42248058319091797,0.0,8.0,0.0,7.0,0.0,1.0,0.0,18.0,0.0,0.875,0.0,-0.21103507280349731,0.0021995180286467075,26.0,5.0,0.0028795343823730946,1.0,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.754417896270752,0.7539506554603577,0.7548184990882874,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.754417896270752,0.7539506554603577,0.7548184990882874,1.6039764881134033,0.09614451974630356,0.29501914978027344,0.2142857164144516,0.27405858039855957,0.22169941876556878,0.6567397788167,0.004551377613097429,0.0050412858836352825,0.45773375034332275,0.9911616444587708,0.07064665853977203,7.0,0.0055429465137422085,0.07045786082744598,0.0,0.005564261227846146,0.005564261227846146,0.0,0.011085893027484417,0.0055429465137422085,0.0,0.0,0.13172906637191772,0.10552170872688293,0.15793642401695251,0.15793642401695251,0.5,0.5,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.005564261227846146,0.0,0.0,0.0,"[217073, 3735, 3735]",0.0,0.0,0.004736587405204773,True,60,0.5,0.0328725129365921,0.9425287246704102,0.8197195529937744,0.7868470549583435,0.0328725129365921,0.9425287246704102,-0.015403920784592628,0.36666667461395264,-0.001412655459716916,0.48218029737472534,0.0,0.4336628019809723
4,80.0,0.24217118322849274,0.24071175754070281,0.24217118322849274,0.24071175754070281,0.47094136476516724,0.9583632349967957,0.2,0.24072293937206268,0.050182655453681946,20,7512,0.06223461404442787,0.06223461404442787,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.496431827545166,0.4241941273212433,0.0793740525841713,0.8167911767959595,0.02049565128982067,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045812534517608583,0.0,0.0,0.0,0.039461784064769745,1.0,0.0,27.0,0.0,5.0,0.005,1.0,0.0,0.0,0.009297292679548264,0.0,8.0,0.0,8.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,-0.12570665776729584,0.005296661052852869,27.0,5.0,0.007912627421319485,0.3050000071525574,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9879863858222961,0.9443681240081787,0.9946846961975098,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9879863858222961,0.9443680644035339,0.9946846961975098,0.6751090884208679,0.06075847148895264,0.8505747318267822,0.22727273404598236,0.2992776036262512,0.7153231663035584,0.6279547922313213,0.1039605364203453,0.2783058285713196,0.6984637379646301,0.9818515777587891,0.11410050839185715,5.0,0.017028044909238815,0.3955140709877014,0.0,0.01709352433681488,0.01709352433681488,0.0,0.07488793134689331,0.018721982836723328,0.10754644870758057,0.10754644870758057,0.15671929717063904,0.12331247329711914,0.19012613594532013,0.19012613594532013,0.25,0.25,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.01709352433681488,0.0,0.0,0.0,"[217073, 3756, 3756]",0.0,0.0,0.003760717809200287,False,80,0.25,0.032517094165086746,0.946360170841217,0.4717147648334503,0.4391976594924927,0.032517094165086746,0.946360170841217,-0.016463203355669975,0.3636363744735718,-0.01203722320497036,0.41486069560050964,0.0,0.28806549310684204
4,80.0,0.23903965950012207,0.23733937442302705,0.23903965950012207,0.23733937442302705,0.4713006019592285,0.9568577408790588,0.2,0.24129974842071533,0.050182655453681946,20,7530,0.06223461404442787,0.06223461404442787,1.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,0.877405047416687,0.05142999812960625,0.07116507738828659,0.3678362965583801,0.020406760275363922,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003400045388843864,0.0,0.0,0.0,0.040992118418216705,1.0,0.0,26.0,0.0,5.0,0.005,1.0,0.0,0.0,0.013420073315501213,0.0,8.0,0.0,8.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,-0.49513545632362366,0.005442108493298292,26.0,5.0,0.005937250331044197,0.30571430921554565,1.0,1.0,145.0,116.0,0.5555555555555556,1.0,0.9837014079093933,0.9384543895721436,0.9935195446014404,0.05000000074505806,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.9837014079093933,0.9384545087814331,0.9935195446014404,0.8079838752746582,0.2604849934577942,0.7892720103263855,0.2631579041481018,0.2830769121646881,0.6301897983392646,0.598160769790411,0.12070253491401672,0.27760058641433716,0.6909613609313965,0.974699854850769,0.11125939339399338,6.0,0.018155699595808983,0.2280467450618744,0.0,0.018225517123937607,0.018225517123937607,0.0,0.04293696954846382,0.02146848477423191,0.1433633416891098,0.1433633416891098,0.15611004829406738,0.12331247329711914,0.18890762329101562,0.18890762329101562,0.5,0.5,weighted_mean,1.0,0.07999999821186066,norm_clip,v4_multi_expert_residual,classifier_directional_residual,20.0,0.049958374351263046,1.0,1.0,0.0,0.018225517123937607,0.0,0.0,0.0,"[217073, 3765, 3765]",0.0,0.0,0.0074568018317222595,False,80,0.5,0.03416012227535248,0.954023003578186,0.46626806259155273,0.43210792541503906,0.03416012227535248,0.954023003578186,-0.008535889908671379,0.4736842215061188,-0.016062654554843903,0.4061538577079773,0.0,0.30378687381744385
