rank,tag,best_acc,best_f1,auroc,auprc,final_acc,final_f1,overrides
1,edge010,37.76 ± 1.18,36.43 ± 1.23,64.85 ± 1.09,31.11 ± 0.72,37.22 ± 1.34,35.96 ± 1.35,"{""node_feature_edge_gate_strength"": 0.1}"
2,harm010,37.48 ± 1.43,35.97 ± 1.67,65.12 ± 1.44,31.13 ± 0.78,37.41 ± 0.99,36.11 ± 1.10,"{""lambda_p23_feature_harm"": 0.1}"
3,edge020,37.43 ± 1.42,35.93 ± 1.70,65.08 ± 1.48,31.17 ± 0.75,37.39 ± 0.98,36.09 ± 1.09,"{""node_feature_edge_gate_strength"": 0.2}"
4,edge020_harm008,37.43 ± 1.42,35.93 ± 1.70,65.09 ± 1.48,31.16 ± 0.75,37.41 ± 0.99,36.10 ± 1.10,"{""lambda_p23_feature_harm"": 0.08, ""node_feature_edge_gate_strength"": 0.2}"
5,harm008,37.41 ± 1.38,35.91 ± 1.63,65.07 ± 1.49,31.14 ± 0.75,37.39 ± 0.98,36.09 ± 1.09,"{""lambda_p23_feature_harm"": 0.08}"
6,edge030,37.39 ± 1.35,35.88 ± 1.55,65.02 ± 1.48,31.08 ± 0.76,37.36 ± 1.00,36.08 ± 1.08,"{""node_feature_edge_gate_strength"": 0.3}"
7,q090,37.39 ± 1.33,35.91 ± 1.58,65.06 ± 1.49,31.14 ± 0.75,37.36 ± 0.96,36.06 ± 1.08,"{""p23_feature_harm_quantile"": 0.9}"
8,baseline,37.37 ± 1.36,35.89 ± 1.61,65.06 ± 1.49,31.13 ± 0.75,37.36 ± 0.96,36.06 ± 1.08,{}
9,temp010,37.37 ± 1.36,35.89 ± 1.61,65.06 ± 1.49,31.13 ± 0.75,37.37 ± 0.97,36.08 ± 1.08,"{""p23_feature_harm_temperature"": 0.1}"
10,temp020,37.37 ± 1.36,35.89 ± 1.61,65.06 ± 1.49,31.13 ± 0.75,37.37 ± 0.97,36.08 ± 1.08,"{""p23_feature_harm_temperature"": 0.2}"
11,q070,37.37 ± 1.36,35.89 ± 1.61,65.06 ± 1.49,31.10 ± 0.79,37.37 ± 0.97,36.08 ± 1.08,"{""p23_feature_harm_quantile"": 0.7}"
12,harm002,37.36 ± 1.31,35.89 ± 1.56,65.05 ± 1.50,31.14 ± 0.73,37.36 ± 0.96,36.07 ± 1.06,"{""lambda_p23_feature_harm"": 0.02}"
13,edge035,37.30 ± 1.28,35.82 ± 1.52,65.08 ± 1.46,31.12 ± 0.77,37.34 ± 1.03,36.08 ± 1.10,"{""node_feature_edge_gate_strength"": 0.35}"
14,floor010_harm008,37.29 ± 1.27,34.80 ± 1.39,66.09 ± 1.74,31.54 ± 1.08,36.53 ± 0.84,34.72 ± 1.16,"{""feature_gate_floor"": 0.1, ""lambda_p23_feature_harm"": 0.08}"
15,floor010,37.25 ± 1.24,34.77 ± 1.35,66.09 ± 1.75,31.55 ± 1.08,36.51 ± 0.81,34.71 ± 1.16,"{""feature_gate_floor"": 0.1}"
16,floor030,36.60 ± 1.67,34.47 ± 1.76,66.26 ± 1.71,31.90 ± 1.21,37.01 ± 0.97,35.38 ± 0.81,"{""feature_gate_floor"": 0.3}"
