dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
chameleon,0,0.0,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.9762845849802372,114.0,2223.0,113.0,0.9912280701754386,0.05083220872694557,0.09670517757809158,0.050809352517985615,0.0,0.0
chameleon,0,0.5,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.8880105401844532,114.0,2022.0,98.0,0.8596491228070176,0.04846686449060336,0.09176029962546815,0.04808635917566242,0.0,0.0
chameleon,0,0.75,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.5814668423364076,114.0,1324.0,68.0,0.5964912280701754,0.0513595166163142,0.09457579972183588,0.049635036496350364,0.0,0.0
chameleon,0,0.0,random,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.9762845849802372,228.0,2223.0,226.0,0.9912280701754386,0.10166441745389114,0.1844145246838025,0.10157303370786516,0.0,0.0
chameleon,0,0.5,random,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.8880105401844532,228.0,2022.0,203.0,0.8903508771929824,0.10039564787339268,0.18044444444444444,0.0991695163654128,0.0,0.0
chameleon,0,0.75,random,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.5814668423364076,228.0,1324.0,136.0,0.5964912280701754,0.1027190332326284,0.17525773195876287,0.096045197740113,0.0,0.0
chameleon,0,0.0,random,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.9762845849802372,342.0,2223.0,336.0,0.9824561403508771,0.15114709851551958,0.26198830409356727,0.15074024226110364,0.0,0.0
chameleon,0,0.5,random,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.8880105401844532,342.0,2022.0,300.0,0.8771929824561403,0.14836795252225518,0.2538071065989848,0.14534883720930233,0.0,0.0
chameleon,0,0.75,random,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.5814668423364076,342.0,1324.0,202.0,0.5906432748538012,0.15256797583081572,0.24249699879951983,0.13797814207650272,0.0,0.0
chameleon,0,0.0,random,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.9762845849802372,455.0,2223.0,446.0,0.9802197802197802,0.200629779577148,0.33308439133681855,0.19982078853046595,0.0,0.0
chameleon,0,0.5,random,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.8880105401844532,455.0,2022.0,400.0,0.8791208791208791,0.19782393669634027,0.3229713362939039,0.19258545979778527,0.0,0.0
