dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
Actor,0,1.0,prompt_off,,,0.6518324613571167,0.24666666984558105,0.24674589931964874,0.6518324613571167,0.22580644488334656,0.2687098979949951,0.0,0.0,0.0,0,0,0.0
Actor,0,1.0,prompt_on_all_pool,,,0.6518324613571167,0.2800000011920929,0.2556593120098114,0.6518324613571167,0.3870967626571655,0.3136136829853058,0.05026315897703171,0.004078947473317385,0.18460525572299957,206,143,0.09833050519227982
Actor,0,1.0,oracle_test_upper_bound,,,0.6518324613571167,0.24666666984558105,0.27589133381843567,0.6518324613571167,0.22580644488334656,0.41553813219070435,0.0,0.0,0.027105262503027916,206,0,0.029145443812012672
Actor,0,1.0,oracle_all_splits_upper_bound,,,0.8376963138580322,0.2933333218097687,0.27589133381843567,0.8376963138580322,0.4516128897666931,0.41553813219070435,0.009342105127871037,0.00092105264775455,0.027105262503027916,206,0,0.029145443812012672
Actor,0,1.0,train_low_conf_off,low,0.28195425868034363,0.6937173008918762,0.2666666805744171,0.25438597798347473,0.6937173008918762,0.32258063554763794,0.3071988523006439,0.025131579488515854,0.0021052630618214607,0.0996052622795105,135,81,0.05517826974391937
Actor,0,1.0,train_low_margin_off,low,0.02218305692076683,0.717277467250824,0.24666666984558105,0.24971704185009003,0.717277467250824,0.22580644488334656,0.2836778461933136,0.015131578780710697,0.0007894737063907087,0.05328947305679321,66,45,0.028720995411276817
Actor,0,1.0,train_high_structural_score,high,0.14084367454051971,0.6701570749282837,0.2800000011920929,0.2556593120098114,0.6701570749282837,0.3870967626571655,0.3136136829853058,0.04684210568666458,0.004078947473317385,0.18460525572299957,206,143,0.09833050519227982
Actor,0,1.0,train_high_logit_delta,high,1.9316545724868774,0.6623036861419678,0.25999999046325684,0.25509336590766907,0.6623036861419678,0.29032257199287415,0.3107626438140869,0.015131578780710697,0.0015789474127814174,0.07881578803062439,143,84,0.05814940482378006
Actor,0,1.0,train_high_learned_acceptance,high,0.2953718602657318,0.6832460761070251,0.273333340883255,0.2546689212322235,0.6832460761070251,0.35483869910240173,0.30862438678741455,0.019473684951663017,0.0021052630618214607,0.07289473712444305,113,57,0.0425863042473793
Actor,0,1.0,train_low_conf_on,low,0.339061439037323,0.6727748513221741,0.25333333015441895,0.24660441279411316,0.6727748513221741,0.25806450843811035,0.267997145652771,0.013421053066849709,0.00092105264775455,0.05039473623037338,31,32,0.022778721526265144
Actor,0,1.0,train_low_margin_on,low,0.03949365019798279,0.6596858501434326,0.25999999046325684,0.24646292626857758,0.6596858501434326,0.29032257199287415,0.2672843933105469,0.008421052247285843,0.0010526315309107304,0.0371052622795105,24,26,0.018251273781061172
Actor,1,1.0,prompt_off,,,0.5706806182861328,0.273333340883255,0.2395302802324295,0.5706806182861328,0.27272728085517883,0.26424500346183777,0.0,0.0,0.0,0,0,0.0
Actor,1,1.0,prompt_on_all_pool,,,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0043421052396297455,0.18473684787750244,197,126,0.08842670917510986
Actor,1,1.0,oracle_test_upper_bound,,,0.5706806182861328,0.273333340883255,0.26740238070487976,0.5706806182861328,0.27272728085517883,0.404558390378952,0.0,0.0,0.02592105232179165,197,0,0.027872100472450256
Actor,1,1.0,oracle_all_splits_upper_bound,,,0.8821989297866821,0.2933333218097687,0.26740238070487976,0.8821989297866821,0.3636363744735718,0.404558390378952,0.01565789431333542,0.00039473685319535434,0.02592105232179165,197,0,0.027872100472450256
Actor,1,1.0,train_low_conf_off,low,0.8719110488891602,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0042105261236429214,0.1834210455417633,197,126,0.08842670917510986
Actor,1,1.0,train_low_margin_off,low,0.8185070753097534,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0042105261236429214,0.1839473694562912,197,126,0.08842670917510986
Actor,1,1.0,train_high_structural_score,high,0.0,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0043421052396297455,0.18473684787750244,197,126,0.08842670917510986
Actor,1,1.0,train_high_logit_delta,high,1.314032793045044,0.8246073126792908,0.2800000011920929,0.24957555532455444,0.8246073126792908,0.3030303120613098,0.31481480598449707,0.041842106729745865,0.004078947473317385,0.1610526293516159,188,117,0.08276740461587906
Actor,1,1.0,train_high_learned_acceptance,high,0.30909937620162964,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0043421052396297455,0.18473684787750244,197,126,0.08842670917510986
Actor,1,1.0,train_low_conf_on,low,0.9655483961105347,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0043421052396297455,0.18381579220294952,197,126,0.08842670917510986
Actor,1,1.0,train_low_margin_on,low,0.933611273765564,0.8219895362854004,0.2800000011920929,0.24957555532455444,0.8219895362854004,0.3030303120613098,0.31481480598449707,0.05026315897703171,0.0043421052396297455,0.18381579220294952,197,126,0.08842670917510986
Actor,2,2.0,prompt_off,,,0.573298454284668,0.19333332777023315,0.23698358237743378,0.573298454284668,0.11999999731779099,0.27586206793785095,0.0,0.0,0.0,0,0,0.0
Actor,2,2.0,prompt_on_all_pool,,,0.5261780023574829,0.2199999988079071,0.24306733906269073,0.5261780023574829,0.2800000011920929,0.30612245202064514,0.05026315897703171,0.003289473708719015,0.1869736909866333,158,115,0.07413695752620697
Actor,2,2.0,oracle_test_upper_bound,,,0.573298454284668,0.19333332777023315,0.2593378722667694,0.573298454284668,0.11999999731779099,0.38705137372016907,0.0,0.0,0.02078947424888611,158,0,0.02235427312552929
Actor,2,2.0,oracle_all_splits_upper_bound,,,0.6780104637145996,0.2266666740179062,0.2593378722667694,0.6780104637145996,0.3199999928474426,0.38705137372016907,0.005263158120214939,0.0006578947650268674,0.02078947424888611,158,0,0.02235427312552929
Actor,2,2.0,train_low_conf_off,low,0.21905703842639923,0.5759162306785583,0.19333332777023315,0.2376910001039505,0.5759162306785583,0.11999999731779099,0.2793807089328766,0.0034210525918751955,0.0002631578827276826,0.008552631363272667,18,13,0.006225240416824818
Actor,2,2.0,train_low_margin_off,low,3.7088990211486816e-05,0.5706806182861328,0.19333332777023315,0.23698358237743378,0.5706806182861328,0.11999999731779099,0.27586206793785095,0.0001315789413638413,0.0,0.0001315789413638413,0,0,0.00014148274203762412
Actor,2,2.0,train_high_structural_score,high,0.2870577573776245,0.5759162306785583,0.2199999988079071,0.24306733906269073,0.5759162306785583,0.2800000011920929,0.30612245202064514,0.03513157740235329,0.003289473708719015,0.1869736909866333,158,115,0.07413695752620697
Actor,2,2.0,train_high_logit_delta,high,1.534644365310669,0.5942408442497253,0.20000000298023224,0.24179400503635406,0.5942408442497253,0.1599999964237213,0.2997888922691345,0.010131578892469406,0.00039473685319535434,0.045657895505428314,63,29,0.019666099920868874
Actor,2,2.0,train_high_learned_acceptance,high,0.28962188959121704,0.5759162306785583,0.20000000298023224,0.2386813759803772,0.5759162306785583,0.1599999964237213,0.2843068242073059,0.005131579004228115,0.0005263157654553652,0.017105262726545334,17,5,0.00580079248175025
Actor,2,2.0,train_low_conf_on,low,0.21684551239013672,0.573298454284668,0.19333332777023315,0.23698358237743378,0.573298454284668,0.11999999731779099,0.27586206793785095,0.0001315789413638413,0.0,0.0,0,0,0.0
Actor,2,2.0,train_low_margin_on,low,0.00034287571907043457,0.5759162306785583,0.19333332777023315,0.23698358237743378,0.5759162306785583,0.11999999731779099,0.27586206793785095,0.0001315789413638413,0.0,0.0,0,0,0.0
