node_id,split,label,pool,prompt_top1,structural_score,pred_off,pred_on,correct_off,correct_on,fixed_by_prompt,broken_by_prompt,confidence_off,confidence_on,margin_off,margin_on,h_delta_norm,logit_delta_norm
0,test,3,1,0,0.6666666865348816,3,3,1,1,0,0,0.5127821564674377,0.6277926564216614,0.3350147008895874,0.2926727533340454,6.628631591796875,3.7714056968688965
1,test,3,1,7,0.6666666865348816,3,2,1,0,0,1,0.2488287389278412,0.41510066390037537,0.0014349371194839478,0.13184067606925964,4.450366020202637,2.5577151775360107
2,test,3,0,-1,0.45879828929901123,2,2,0,0,0,0,0.24808141589164734,0.24808141589164734,0.038948655128479004,0.038948655128479004,0.0,0.0
3,test,3,0,-1,0.5680971741676331,3,3,1,1,0,0,0.5518549680709839,0.5518549680709839,0.2885754406452179,0.2885754406452179,0.0,0.0
4,test,1,1,2,0.6666666865348816,2,2,0,0,0,0,0.39752471446990967,0.5972659587860107,0.19076305627822876,0.39135730266571045,5.5448527336120605,3.1871962547302246
5,test,2,1,0,0.6666666865348816,3,3,0,0,0,0,0.4307413101196289,0.5481362342834473,0.12777560949325562,0.16939985752105713,5.263157844543457,3.0030393600463867
6,val,2,0,-1,0.35649701952934265,3,3,0,0,0,0,0.5041608810424805,0.5041608810424805,0.24502384662628174,0.24502384662628174,0.0,0.0
7,test,4,0,-1,0.3116535246372223,3,3,0,0,0,0,0.5104743242263794,0.5104743242263794,0.27361220121383667,0.27361220121383667,0.0,0.0
8,test,1,0,-1,0.35373786091804504,3,3,0,0,0,0,0.36084893345832825,0.36084893345832825,0.11523781716823578,0.11523781716823578,0.0,0.0
9,test,1,1,2,0.6666666865348816,1,1,1,1,0,0,0.43806126713752747,0.7615602016448975,0.16330590844154358,0.5787617564201355,8.54869270324707,4.938522815704346
10,test,1,0,-1,0.2519019544124603,3,3,0,0,0,0,0.7112241983413696,0.7112241983413696,0.5000739693641663,0.5000739693641663,0.0,0.0
11,test,1,0,-1,0.12296393513679504,3,3,0,0,0,0,0.26828959584236145,0.26828959584236145,0.036130622029304504,0.036130622029304504,0.0,0.0
12,test,0,0,-1,0.41481003165245056,0,0,1,1,0,0,0.47422274947166443,0.47422274947166443,0.27133679389953613,0.27133679389953613,0.0,0.0
13,test,0,0,-1,0.5019996166229248,3,3,0,0,0,0,0.567973792552948,0.567973792552948,0.4066542983055115,0.4066542983055115,0.0,0.0
14,test,2,0,-1,0.5049034953117371,3,3,0,0,0,0,0.29258978366851807,0.29258978366851807,0.052736103534698486,0.052736103534698486,0.0,0.0
15,test,2,1,2,0.6666666865348816,0,0,0,0,0,0,0.45152321457862854,0.7585679292678833,0.21063026785850525,0.6281265020370483,8.254828453063965,4.747579574584961
16,test,4,0,-1,0.13666100800037384,2,2,0,0,0,0,0.3222731947898865,0.3222731947898865,0.09497025609016418,0.09497025609016418,0.0,0.0
17,test,3,1,2,0.6666666865348816,3,0,1,0,0,1,0.32899320125579834,0.4040728509426117,0.11672556400299072,0.03858950734138489,6.2823920249938965,3.6175270080566406
18,test,4,1,2,0.8469355702400208,3,1,0,0,0,0,0.3472517430782318,0.4516785442829132,0.05466121435165405,0.18868392705917358,5.319950103759766,3.061328411102295
19,test,4,0,-1,0.5018293261528015,2,2,0,0,0,0,0.3868595361709595,0.3868595361709595,0.22423037886619568,0.22423037886619568,0.0,0.0
20,test,2,1,2,0.6666666865348816,1,1,0,0,0,0,0.40524226427078247,0.5698959827423096,0.08208194375038147,0.288036972284317,5.673610687255859,3.2710182666778564
21,test,1,0,-1,0.5380997061729431,3,3,0,0,0,0,0.3758963942527771,0.3758963942527771,0.14524483680725098,0.14524483680725098,0.0,0.0
22,test,2,0,-1,0.40215691924095154,3,3,0,0,0,0,0.3957374393939972,0.3957374393939972,0.11279052495956421,0.11279052495956421,0.0,0.0
23,test,4,0,-1,0.10985592007637024,3,3,0,0,0,0,0.4190653860569,0.4190653860569,0.21180161833763123,0.21180161833763123,0.0,0.0
24,test,4,0,-1,0.5592782497406006,1,1,0,0,0,0,0.5711102485656738,0.5711102485656738,0.36506855487823486,0.36506855487823486,0.0,0.0
25,test,4,0,-1,0.13143013417720795,3,3,0,0,0,0,0.28849634528160095,0.28849634528160095,0.06560894846916199,0.06560894846916199,0.0,0.0
26,test,3,0,-1,0.11053033918142319,3,3,1,1,0,0,0.3666020929813385,0.3666020929813385,0.15082566440105438,0.15082566440105438,0.0,0.0
27,test,1,0,-1,0.32095280289649963,3,3,0,0,0,0,0.569460391998291,0.569460391998291,0.34548431634902954,0.34548431634902954,0.0,0.0
28,test,4,1,2,0.6666666865348816,1,1,0,0,0,0,0.4059012234210968,0.5603715777397156,0.19991083443164825,0.31191831827163696,8.087048530578613,4.653229713439941
29,test,4,1,2,0.6666666865348816,2,2,0,0,0,0,0.289144366979599,0.44466543197631836,0.06180116534233093,0.08434179425239563,5.70090913772583,3.2729549407958984
30,test,4,0,-1,0.24055282771587372,3,3,0,0,0,0,0.34623444080352783,0.34623444080352783,0.11173185706138611,0.11173185706138611,0.0,0.0
31,test,2,0,-1,0.09602013975381851,3,3,0,0,0,0,0.629338800907135,0.629338800907135,0.3767307698726654,0.3767307698726654,0.0,0.0
32,test,4,0,-1,0.09840774536132812,3,3,0,0,0,0,0.6635442972183228,0.6635442972183228,0.4241064488887787,0.4241064488887787,0.0,0.0
33,test,1,0,-1,0.28008124232292175,3,3,0,0,0,0,0.524209201335907,0.524209201335907,0.28060412406921387,0.28060412406921387,0.0,0.0
34,test,4,0,-1,0.14320236444473267,3,3,0,0,0,0,0.2693258821964264,0.2693258821964264,0.03315842151641846,0.03315842151641846,0.0,0.0
35,test,3,1,7,0.6666666865348816,1,2,0,0,0,0,0.26498979330062866,0.3858824372291565,0.030917346477508545,0.05759415030479431,3.852261781692505,2.212337017059326
36,test,0,0,-1,0.28468969464302063,2,2,0,0,0,0,0.5492973327636719,0.5492973327636719,0.3946846127510071,0.3946846127510071,0.0,0.0
37,test,3,0,-1,0.11744909733533859,3,3,1,1,0,0,0.5003542304039001,0.5003542304039001,0.3226431608200073,0.3226431608200073,0.0,0.0
38,test,2,0,-1,0.28642284870147705,3,3,0,0,0,0,0.3620268404483795,0.3620268404483795,0.09946709871292114,0.09946709871292114,0.0,0.0
39,test,4,1,7,0.6666666865348816,2,2,0,0,0,0,0.31216686964035034,0.5046446323394775,0.11272142827510834,0.29009872674942017,3.791551351547241,2.184147357940674
40,test,3,1,2,0.6666666865348816,0,0,0,0,0,0,0.28144052624702454,0.4395618438720703,0.021745264530181885,0.04779350757598877,6.259120941162109,3.593435764312744
41,test,4,0,-1,0.3080660402774811,3,3,0,0,0,0,0.34474265575408936,0.34474265575408936,0.04399922490119934,0.04399922490119934,0.0,0.0
42,test,3,0,-1,0.581802487373352,2,2,0,0,0,0,0.26744595170021057,0.26744595170021057,0.02893759310245514,0.02893759310245514,0.0,0.0
43,test,2,1,7,0.6666666865348816,3,2,0,1,1,0,0.3350673019886017,0.511900782585144,0.041278958320617676,0.23086592555046082,4.566332817077637,2.629751682281494
44,test,3,0,-1,0.21317292749881744,3,3,1,1,0,0,0.3966202139854431,0.3966202139854431,0.16255508363246918,0.16255508363246918,0.0,0.0
45,test,1,0,-1,0.45722687244415283,0,0,0,0,0,0,0.5039218068122864,0.5039218068122864,0.33619576692581177,0.33619576692581177,0.0,0.0
46,test,0,0,-1,0.13539433479309082,3,3,0,0,0,0,0.2953431308269501,0.2953431308269501,0.04397076368331909,0.04397076368331909,0.0,0.0
47,test,4,0,-1,0.6666666865348816,2,2,0,0,0,0,0.5127212405204773,0.5127212405204773,0.34665918350219727,0.34665918350219727,0.0,0.0
48,test,3,0,-1,0.6666666865348816,1,1,0,0,0,0,0.4874381721019745,0.4874381721019745,0.2642432451248169,0.2642432451248169,0.0,0.0
49,test,2,0,-1,0.28542694449424744,2,2,1,1,0,0,0.8691935539245605,0.8691935539245605,0.8256495594978333,0.8256495594978333,0.0,0.0
50,test,4,0,-1,0.10380611568689346,0,0,0,0,0,0,0.2568928301334381,0.2568928301334381,0.009611383080482483,0.009611383080482483,0.0,0.0
51,test,1,0,-1,0.6666666865348816,1,1,1,1,0,0,0.4507473409175873,0.4507473409175873,0.05013421177864075,0.05013421177864075,0.0,0.0
52,test,0,0,-1,0.300281822681427,3,3,0,0,0,0,0.32468441128730774,0.32468441128730774,0.09095960855484009,0.09095960855484009,0.0,0.0
53,test,1,0,-1,0.2355998009443283,0,0,0,0,0,0,0.24266205728054047,0.24266205728054047,0.005065992474555969,0.005065992474555969,0.0,0.0
54,test,0,0,-1,0.36046209931373596,1,1,0,0,0,0,0.3120451271533966,0.3120451271533966,0.023704051971435547,0.023704051971435547,0.0,0.0
55,test,2,0,-1,0.514828622341156,3,3,0,0,0,0,0.38821887969970703,0.38821887969970703,0.13978753983974457,0.13978753983974457,0.0,0.0
56,test,3,0,-1,0.0891343355178833,3,3,1,1,0,0,0.3541503846645355,0.3541503846645355,0.1490255445241928,0.1490255445241928,0.0,0.0
57,train,2,1,2,0.03791124001145363,2,2,1,1,0,0,0.8786742091178894,0.9323126673698425,0.8376562595367432,0.8900457620620728,5.9993462562561035,3.4602138996124268
58,test,4,0,-1,0.28966620564460754,1,1,0,0,0,0,0.29327312111854553,0.29327312111854553,0.03740692138671875,0.03740692138671875,0.0,0.0
59,test,3,0,-1,0.6666666865348816,3,3,1,1,0,0,0.2719087600708008,0.2719087600708008,0.017111778259277344,0.017111778259277344,0.0,0.0
60,test,1,0,-1,0.11455448716878891,3,3,0,0,0,0,0.3514457941055298,0.3514457941055298,0.10845769941806793,0.10845769941806793,0.0,0.0
61,test,3,0,-1,0.6666666865348816,2,2,0,0,0,0,0.2633242905139923,0.2633242905139923,0.02143131196498871,0.02143131196498871,0.0,0.0
62,test,4,0,-1,0.33811458945274353,3,3,0,0,0,0,0.2706642150878906,0.2706642150878906,0.039513081312179565,0.039513081312179565,0.0,0.0
63,test,1,1,0,0.7157695889472961,2,4,0,0,0,0,0.5462355613708496,0.47010231018066406,0.39982011914253235,0.2102433443069458,2.9827237129211426,1.7371166944503784
64,test,3,0,-1,0.5401787161827087,2,2,0,0,0,0,0.2651299238204956,0.2651299238204956,0.022156089544296265,0.022156089544296265,0.0,0.0
65,test,4,0,-1,0.6666666865348816,3,3,0,0,0,0,0.2825883626937866,0.2825883626937866,0.07963363826274872,0.07963363826274872,0.0,0.0
66,test,2,0,-1,0.1460805982351303,3,3,0,0,0,0,0.6951239705085754,0.6951239705085754,0.41679587960243225,0.41679587960243225,0.0,0.0
67,test,1,0,-1,0.24795955419540405,3,3,0,0,0,0,0.30660274624824524,0.30660274624824524,0.018533915281295776,0.018533915281295776,0.0,0.0
68,test,3,0,-1,0.16570086777210236,1,1,0,0,0,0,0.2849656045436859,0.2849656045436859,0.007270842790603638,0.007270842790603638,0.0,0.0
69,test,3,0,-1,0.6666666865348816,3,3,1,1,0,0,0.4057353734970093,0.4057353734970093,0.13820353150367737,0.13820353150367737,0.0,0.0
70,test,0,0,-1,0.362571120262146,3,3,0,0,0,0,0.48257383704185486,0.48257383704185486,0.2694060206413269,0.2694060206413269,0.0,0.0
71,test,4,0,-1,0.505588710308075,3,3,0,0,0,0,0.27899444103240967,0.27899444103240967,0.027138829231262207,0.027138829231262207,0.0,0.0
72,test,4,0,-1,0.4315541982650757,1,1,0,0,0,0,0.3922690749168396,0.3922690749168396,0.04506179690361023,0.04506179690361023,0.0,0.0
73,test,3,0,-1,0.47156092524528503,3,3,1,1,0,0,0.29344475269317627,0.29344475269317627,0.04966150224208832,0.04966150224208832,0.0,0.0
74,test,3,0,-1,0.15116311609745026,1,1,0,0,0,0,0.5486227869987488,0.5486227869987488,0.21874552965164185,0.21874552965164185,0.0,0.0
75,test,3,0,-1,0.6666666865348816,2,2,0,0,0,0,0.3197528123855591,0.3197528123855591,0.09737671911716461,0.09737671911716461,0.0,0.0
76,test,4,0,-1,0.6666666865348816,3,3,0,0,0,0,0.29695409536361694,0.29695409536361694,0.05114831030368805,0.05114831030368805,0.0,0.0
77,test,3,0,-1,0.34755492210388184,3,3,1,1,0,0,0.36337563395500183,0.36337563395500183,0.022723853588104248,0.022723853588104248,0.0,0.0
78,test,4,0,-1,0.4669245183467865,1,1,0,0,0,0,0.2989708185195923,0.2989708185195923,0.0009811222553253174,0.0009811222553253174,0.0,0.0
79,test,0,0,-1,0.1067076027393341,3,3,0,0,0,0,0.44846266508102417,0.44846266508102417,0.2173195332288742,0.2173195332288742,0.0,0.0
80,test,2,0,-1,0.6666666865348816,3,3,0,0,0,0,0.6325209736824036,0.6325209736824036,0.46873942017555237,0.46873942017555237,0.0,0.0
81,test,3,0,-1,0.6666666865348816,1,1,0,0,0,0,0.41515690088272095,0.41515690088272095,0.1866634637117386,0.1866634637117386,0.0,0.0
82,test,2,0,-1,0.07159682363271713,1,1,0,0,0,0,0.3495982885360718,0.3495982885360718,0.060111165046691895,0.060111165046691895,0.0,0.0
