node_id,split,label,pool,prompt_top1,structural_score,pred_off,pred_on,correct_off,correct_on,fixed_by_prompt,broken_by_prompt,confidence_off,confidence_on,margin_off,margin_on,h_delta_norm,logit_delta_norm
0,test,0,1,4,0.6666666865348816,4,4,0,0,0,0,0.3924681544303894,0.4274643063545227,0.15718398988246918,0.18331663310527802,0.4939660131931305,0.27402567863464355
1,test,3,0,-1,0.035911574959754944,4,4,0,0,0,0,0.4610791802406311,0.4610791802406311,0.26172006130218506,0.26172006130218506,0.0,0.0
2,test,3,1,5,0.6666666865348816,3,3,1,1,0,0,0.2523842751979828,0.2555806040763855,0.04463386535644531,0.05372893810272217,0.1280433088541031,0.06840480864048004
3,test,4,1,4,0.6666666865348816,0,0,0,0,0,0,0.24998486042022705,0.26479974389076233,0.04713714122772217,0.05893574655056,0.42604881525039673,0.2391468733549118
4,test,2,0,-1,0.6666666865348816,3,3,0,0,0,0,0.2232849895954132,0.2232849895954132,0.011143222451210022,0.011143222451210022,0.0,0.0
5,test,0,0,-1,0.2611173391342163,4,4,0,0,0,0,0.3228034973144531,0.3228034973144531,0.11346431076526642,0.11346431076526642,0.0,0.0
6,test,2,0,-1,0.6666666865348816,2,2,1,1,0,0,0.6475939750671387,0.6475939750671387,0.4849061369895935,0.4849061369895935,0.0,0.0
7,test,2,0,-1,0.6666666865348816,1,1,0,0,0,0,0.21444977819919586,0.21444977819919586,0.001545637845993042,0.001545637845993042,0.0,0.0
8,val,0,1,4,0.668353796005249,0,0,1,1,0,0,0.9970641732215881,0.9962521195411682,0.9945862889289856,0.9934220910072327,3.1634109020233154,1.3524709939956665
9,test,2,0,-1,0.6666666865348816,0,0,0,0,0,0,0.28371599316596985,0.28371599316596985,0.014822334051132202,0.014822334051132202,0.0,0.0
10,test,1,0,-1,0.6666666865348816,1,1,1,1,0,0,0.35296431183815,0.35296431183815,0.18169984221458435,0.18169984221458435,0.0,0.0
11,test,0,0,-1,0.6666666865348816,1,1,0,0,0,0,0.21444977819919586,0.21444977819919586,0.001545637845993042,0.001545637845993042,0.0,0.0
12,test,2,0,-1,0.6666666865348816,0,0,0,0,0,0,0.6680025458335876,0.6680025458335876,0.5540436506271362,0.5540436506271362,0.0,0.0
13,test,0,0,-1,0.6666666865348816,0,0,1,1,0,0,0.4904349744319916,0.4904349744319916,0.2839229106903076,0.2839229106903076,0.0,0.0
14,val,1,0,-1,0.6666666865348816,1,1,1,1,0,0,0.21444977819919586,0.21444977819919586,0.001545637845993042,0.001545637845993042,0.0,0.0
