node_id,split,label,pool,prompt_top1,structural_score,pred_off,pred_on,correct_off,correct_on,fixed_by_prompt,broken_by_prompt,confidence_off,confidence_on,margin_off,margin_on,h_delta_norm,logit_delta_norm
0,test,3,1,0,0.6666666865348816,4,4,0,0,0,0,0.22511029243469238,0.2457091361284256,0.018733739852905273,0.03904856741428375,0.8738195896148682,0.17649300396442413
1,test,3,1,0,0.6666666865348816,4,4,0,0,0,0,0.22009709477424622,0.24000121653079987,0.010886535048484802,0.029276415705680847,0.8594996333122253,0.17431332170963287
2,test,3,0,-1,0.5673913359642029,4,4,0,0,0,0,0.21524494886398315,0.21524494886398315,0.010713368654251099,0.010713368654251099,0.0,0.0
3,test,3,1,0,0.6827505230903625,4,4,0,0,0,0,0.22372737526893616,0.2307083159685135,0.013195991516113281,0.0281103253364563,0.3565436005592346,0.05981249734759331
4,test,1,1,0,0.6666666865348816,4,4,0,0,0,0,0.21282586455345154,0.23168626427650452,0.0031655728816986084,0.02246224880218506,0.8728338479995728,0.17569220066070557
5,test,2,1,0,0.6666666865348816,4,4,0,0,0,0,0.2141651064157486,0.2333599478006363,0.003855764865875244,0.02246120572090149,0.8682308197021484,0.1756492406129837
6,test,2,0,-1,0.3948010504245758,2,2,1,1,0,0,0.20648005604743958,0.20648005604743958,0.0017745047807693481,0.0017745047807693481,0.0,0.0
7,train,4,1,0,0.4660809338092804,4,4,1,1,0,0,0.24657170474529266,0.2712422013282776,0.051712051033973694,0.05936363339424133,1.0109608173370361,0.20272760093212128
8,test,1,0,-1,0.5273338556289673,4,4,0,0,0,0,0.20999571681022644,0.20999571681022644,0.003239929676055908,0.003239929676055908,0.0,0.0
9,test,1,1,0,0.6666666865348816,0,4,0,0,0,0,0.20708975195884705,0.21630798280239105,0.0003805607557296753,0.0002126246690750122,0.7544834613800049,0.1470242738723755
10,test,1,0,-1,0.37152037024497986,3,3,0,0,0,0,0.20970408618450165,0.20970408618450165,0.0025225281715393066,0.0025225281715393066,0.0,0.0
11,test,1,0,-1,0.3824913501739502,4,4,0,0,0,0,0.21011680364608765,0.21011680364608765,0.005252182483673096,0.005252182483673096,0.0,0.0
12,test,0,0,-1,0.5341035723686218,4,4,0,0,0,0,0.21449266374111176,0.21449266374111176,0.008113250136375427,0.008113250136375427,0.0,0.0
13,test,0,0,-1,0.5381908416748047,4,4,0,0,0,0,0.22077226638793945,0.22077226638793945,0.01783105731010437,0.01783105731010437,0.0,0.0
14,test,2,0,-1,0.600965678691864,4,4,0,0,0,0,0.21328292787075043,0.21328292787075043,0.008299171924591064,0.008299171924591064,0.0,0.0
15,test,2,1,0,0.6666666865348816,4,4,0,0,0,0,0.2120167762041092,0.22943279147148132,0.0027280300855636597,0.002444937825202942,0.8369141817092896,0.16956773400306702
16,test,4,0,-1,0.2837516665458679,3,3,0,0,0,0,0.21449829638004303,0.21449829638004303,0.0017673969268798828,0.0017673969268798828,0.0,0.0
17,test,3,1,0,0.6666666865348816,4,4,0,0,0,0,0.21114541590213776,0.22886919975280762,0.007327452301979065,0.015553280711174011,0.8710594773292542,0.17171061038970947
18,test,4,0,-1,0.6473254561424255,2,2,0,0,0,0,0.20873810350894928,0.20873810350894928,0.003906548023223877,0.003906548023223877,0.0,0.0
19,test,4,0,-1,0.6085683703422546,4,4,1,1,0,0,0.21541813015937805,0.21541813015937805,0.0025123953819274902,0.0025123953819274902,0.0,0.0
20,test,2,1,0,0.6666666865348816,4,4,0,0,0,0,0.213083416223526,0.23232801258563995,0.008898347616195679,0.016332536935806274,0.9009549617767334,0.1822381466627121
21,test,1,0,-1,0.5807693004608154,4,4,0,0,0,0,0.21293403208255768,0.21293403208255768,0.0061506181955337524,0.0061506181955337524,0.0,0.0
22,test,2,0,-1,0.41451296210289,2,2,1,1,0,0,0.20878589153289795,0.20878589153289795,0.0032819360494613647,0.0032819360494613647,0.0,0.0
23,test,4,0,-1,0.4294770061969757,4,4,1,1,0,0,0.21249036490917206,0.21249036490917206,0.005564048886299133,0.005564048886299133,0.0,0.0
