node_id,split,label,pool,prompt_top1,structural_score,pred_off,pred_on,correct_off,correct_on,fixed_by_prompt,broken_by_prompt,confidence_off,confidence_on,margin_off,margin_on,h_delta_norm,logit_delta_norm
0,test,1,1,2,0.6666666865348816,0,2,0,0,0,0,0.2144748866558075,0.28745037317276,0.0004714876413345337,0.020271658897399902,2.459704875946045,0.7668417692184448
1,test,3,1,0,0.6666666865348816,4,4,0,0,0,0,0.2159772515296936,0.21730037033557892,0.0085984468460083,0.010064691305160522,1.3330657482147217,0.10372230410575867
2,test,0,0,-1,0.3073844909667969,0,0,1,1,0,0,0.288051962852478,0.288051962852478,0.08337579667568207,0.08337579667568207,0.0,0.0
3,test,0,1,0,0.6666666865348816,4,4,0,0,0,0,0.31794214248657227,0.43282923102378845,0.0354304313659668,0.10643395781517029,2.2934203147888184,0.896401584148407
4,test,4,1,2,0.6666666865348816,0,2,0,0,0,0,0.23371747136116028,0.28282517194747925,0.015277162194252014,0.015182137489318848,2.3338749408721924,0.7060859799385071
5,test,0,0,-1,0.43548569083213806,0,0,1,1,0,0,0.26470130681991577,0.26470130681991577,0.040605202317237854,0.040605202317237854,0.0,0.0
6,test,2,1,2,0.6666666865348816,1,1,0,0,0,0,0.24859312176704407,0.38145843148231506,0.030125901103019714,0.053804486989974976,3.5756661891937256,1.2859704494476318
7,test,0,0,-1,0.6666666865348816,0,0,1,1,0,0,0.2659643888473511,0.2659643888473511,0.05411723256111145,0.05411723256111145,0.0,0.0
8,test,0,0,-1,0.6666666865348816,3,3,0,0,0,0,0.20867985486984253,0.20867985486984253,0.006781727075576782,0.006781727075576782,0.0,0.0
9,test,2,0,-1,0.6666666865348816,0,0,0,0,0,0,0.2370622307062149,0.2370622307062149,0.023335501551628113,0.023335501551628113,0.0,0.0
10,test,1,0,-1,0.6666666865348816,0,0,0,0,0,0,0.2446824461221695,0.2446824461221695,0.01314854621887207,0.01314854621887207,0.0,0.0
11,test,2,0,-1,0.6666666865348816,0,0,0,0,0,0,0.21974392235279083,0.21974392235279083,0.003142327070236206,0.003142327070236206,0.0,0.0
12,test,4,0,-1,0.6666666865348816,3,3,0,0,0,0,0.22657178342342377,0.22657178342342377,0.009932070970535278,0.009932070970535278,0.0,0.0
13,test,3,0,-1,0.6666666865348816,4,4,0,0,0,0,0.21387813985347748,0.21387813985347748,0.0033883750438690186,0.0033883750438690186,0.0,0.0
14,test,0,0,-1,0.40059661865234375,0,0,1,1,0,0,0.5762526392936707,0.5762526392936707,0.44722914695739746,0.44722914695739746,0.0,0.0
15,test,0,0,-1,0.6666666865348816,3,3,0,0,0,0,0.2416079342365265,0.2416079342365265,0.011458411812782288,0.011458411812782288,0.0,0.0
16,test,4,0,-1,0.6666666865348816,2,2,0,0,0,0,0.21186017990112305,0.21186017990112305,0.004147663712501526,0.004147663712501526,0.0,0.0
17,test,1,0,-1,0.6666666865348816,1,1,1,1,0,0,0.2930883765220642,0.2930883765220642,0.09899576008319855,0.09899576008319855,0.0,0.0
18,test,1,0,-1,0.6666666865348816,1,1,1,1,0,0,0.23234553635120392,0.23234553635120392,0.02497418224811554,0.02497418224811554,0.0,0.0
19,test,1,0,-1,0.6666666865348816,4,4,0,0,0,0,0.2244754433631897,0.2244754433631897,0.000692516565322876,0.000692516565322876,0.0,0.0
20,test,0,0,-1,0.21175235509872437,3,3,0,0,0,0,0.23509249091148376,0.23509249091148376,0.012015014886856079,0.012015014886856079,0.0,0.0
21,test,2,1,2,0.6666666865348816,0,2,0,1,1,0,0.2442801594734192,0.32769858837127686,0.01965947449207306,0.013714522123336792,3.2592923641204834,1.1302050352096558
22,test,1,1,0,0.6666666865348816,0,0,0,0,0,0,0.23875659704208374,0.230446457862854,0.03422647714614868,0.025387883186340332,1.343277931213379,0.10370632261037827
23,test,2,1,2,0.6666666865348816,0,2,0,1,1,0,0.21551817655563354,0.27158114314079285,0.0005096197128295898,0.0022810697555541992,2.189418315887451,0.6343132257461548
24,test,1,1,0,0.6666666865348816,0,0,0,0,0,0,0.2960979640483856,0.27644941210746765,0.09527385234832764,0.017007648944854736,2.1519179344177246,0.7999122738838196
25,test,2,0,-1,0.31502169370651245,0,0,0,0,0,0,0.6358437538146973,0.6358437538146973,0.509251594543457,0.509251594543457,0.0,0.0
26,test,2,1,0,0.6666666865348816,0,4,0,0,0,0,0.2259877622127533,0.29892057180404663,0.011724963784217834,0.02774578332901001,2.124420404434204,0.7950102090835571
27,test,0,1,2,0.6666666865348816,2,2,0,0,0,0,0.25237566232681274,0.3828085958957672,0.03473834693431854,0.05512639880180359,3.631059169769287,1.3119006156921387
28,test,1,1,2,0.6666666865348816,0,2,0,0,0,0,0.2862878441810608,0.3143710196018219,0.04680295288562775,0.03299328684806824,2.654818058013916,0.8597443699836731
29,test,3,1,0,0.6666666865348816,4,4,0,0,0,0,0.2831389009952545,0.3731418550014496,0.07524766027927399,0.169745534658432,1.700365662574768,0.5673904418945312
30,test,0,0,-1,0.20255690813064575,0,0,1,1,0,0,0.27909615635871887,0.27909615635871887,0.04750622808933258,0.04750622808933258,0.0,0.0
31,test,4,1,0,0.6666666865348816,0,4,0,1,1,0,0.27434268593788147,0.30348384380340576,0.06907626986503601,0.0534961074590683,2.1264355182647705,0.7950131893157959
32,test,0,0,-1,0.35035720467567444,0,0,1,1,0,0,0.23748089373111725,0.23748089373111725,0.02314378321170807,0.02314378321170807,0.0,0.0
