dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
Actor,0,2.0,prompt_off,,,0.5523560047149658,0.25333333015441895,0.23754951357841492,0.5523560047149658,0.21875,0.24571429193019867,0.0,0.0,0.0,0,0,0.0
Actor,0,2.0,prompt_on_all_pool,,,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.0042105261236429214,0.18421052396297455,251,158,0.1079513281583786
Actor,0,2.0,oracle_test_upper_bound,,,0.5523560047149658,0.25333333015441895,0.27306169271469116,0.5523560047149658,0.21875,0.42500001192092896,0.0,0.0,0.0330263152718544,251,0,0.03551216796040535
Actor,0,2.0,oracle_all_splits_upper_bound,,,0.9214659929275513,0.2933333218097687,0.27306169271469116,0.9214659929275513,0.40625,0.42500001192092896,0.01855263113975525,0.0007894737063907087,0.0330263152718544,251,0,0.03551216796040535
Actor,0,2.0,train_low_conf_off,low,0.5397920608520508,0.8246073126792908,0.273333340883255,0.25042444467544556,0.8246073126792908,0.3125,0.3107142746448517,0.04513157904148102,0.003947368357330561,0.17447368800640106,249,158,0.10710243135690689
Actor,0,2.0,train_low_margin_off,low,0.34863531589508057,0.8272251486778259,0.273333340883255,0.25056591629981995,0.8272251486778259,0.3125,0.31142857670783997,0.04513157904148102,0.003947368357330561,0.17302630841732025,250,158,0.10738539695739746
Actor,0,2.0,train_high_structural_score,high,3.973643103449831e-08,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.0042105261236429214,0.18421052396297455,251,158,0.1079513281583786
Actor,0,2.0,train_high_logit_delta,high,0.9265321493148804,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.0042105261236429214,0.18421052396297455,251,158,0.1079513281583786
Actor,0,2.0,train_high_learned_acceptance,high,0.19792145490646362,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.004078947473317385,0.18421052396297455,251,158,0.1079513281583786
Actor,0,2.0,train_low_conf_on,low,0.9627655744552612,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.0042105261236429214,0.18407894670963287,251,158,0.1079513281583786
Actor,0,2.0,train_low_margin_on,low,0.9268829822540283,0.8219895362854004,0.273333340883255,0.2507074177265167,0.8219895362854004,0.3125,0.31214284896850586,0.05026315897703171,0.0042105261236429214,0.18407894670963287,251,158,0.1079513281583786
Actor,1,1.0,prompt_off,,,0.6204188466072083,0.25999999046325684,0.24419920146465302,0.6204188466072083,0.27586206793785095,0.2775800824165344,0.0,0.0,0.0,0,0,0.0
Actor,1,1.0,prompt_on_all_pool,,,0.7905759215354919,0.273333340883255,0.2490096241235733,0.7905759215354919,0.3448275923728943,0.3017793595790863,0.05026315897703171,0.0038157894741743803,0.18486842513084412,134,100,0.062252406030893326
Actor,1,1.0,oracle_test_upper_bound,,,0.6204188466072083,0.25999999046325684,0.2631579041481018,0.6204188466072083,0.27586206793785095,0.37295374274253845,0.0,0.0,0.01763157919049263,134,0,0.018958687782287598
Actor,1,1.0,oracle_all_splits_upper_bound,,,0.8403141498565674,0.2800000011920929,0.2631579041481018,0.8403141498565674,0.37931033968925476,0.37295374274253845,0.0110526317730546,0.00039473685319535434,0.01763157919049263,134,0,0.018958687782287598
Actor,1,1.0,train_low_conf_off,low,0.609817624092102,0.7958115339279175,0.273333340883255,0.2491511106491089,0.7958115339279175,0.3448275923728943,0.30249109864234924,0.04684210568666458,0.003289473708719015,0.1722368448972702,134,99,0.06211092323064804
Actor,1,1.0,train_low_margin_off,low,0.4010292589664459,0.7958115339279175,0.273333340883255,0.2491511106491089,0.7958115339279175,0.3448275923728943,0.30249109864234924,0.04513157904148102,0.003289473708719015,0.16894736886024475,134,99,0.061969440430402756
Actor,1,1.0,train_high_structural_score,high,3.973643103449831e-08,0.7905759215354919,0.273333340883255,0.2490096241235733,0.7905759215354919,0.3448275923728943,0.3017793595790863,0.05026315897703171,0.0038157894741743803,0.18486842513084412,134,100,0.062252406030893326
Actor,1,1.0,train_high_logit_delta,high,1.4339830875396729,0.7931936979293823,0.273333340883255,0.2501414716243744,0.7931936979293823,0.3448275923728943,0.3074733018875122,0.04684210568666458,0.0034210525918751955,0.15973684191703796,127,85,0.05574420094490051
Actor,1,1.0,train_high_learned_acceptance,high,0.29199257493019104,0.7958115339279175,0.273333340883255,0.2490096241235733,0.7958115339279175,0.3448275923728943,0.3017793595790863,0.048552632331848145,0.003552631475031376,0.17802631855010986,134,100,0.06211092323064804
